Numero de onda	polietileno.dpt
3715.32823	0.99762
3713.27443	0.99761
3711.22063	0.9983
3709.16683	0.99883
3707.11302	0.99859
3705.05922	0.99848
3703.00542	0.99891
3700.95162	0.9991
3698.89781	0.99885
3696.84401	0.99834
3694.79021	0.99789
3692.73641	0.99793
3690.68261	0.99802
3688.6288	0.99813
3686.575	0.99864
3684.5212	0.99897
3682.4674	0.99864
3680.41359	0.99795
3678.35979	0.99745
3676.30599	0.99727
3674.25219	0.99764
3672.19839	0.99833
3670.14458	0.99898
3668.09078	0.99914
3666.03698	0.99896
3663.98318	0.9988
3661.92937	0.99864
3659.87557	0.99883
3657.82177	0.99921
3655.76797	0.99897
3653.71417	0.99853
3651.66036	0.99879
3649.60656	0.99918
3647.55276	0.99904
3645.49896	0.99897
3643.44515	0.999
3641.39135	0.99923
3639.33755	0.99969
3637.28375	0.99978
3635.22995	0.99926
3633.17614	0.99863
3631.12234	0.99853
3629.06854	0.99912
3627.01474	0.99973
3624.96093	0.99965
3622.90713	0.99918
3620.85333	0.99925
3618.79953	0.99999
3616.74573	1.00008
3614.69192	0.99954
3612.63812	0.99885
3610.58432	0.99801
3608.53052	0.99784
3606.47671	0.99823
3604.42291	0.99765
3602.36911	0.99647
3600.31531	0.99627
3598.26151	0.99732
3596.2077	0.99858
3594.1539	0.99925
3592.1001	0.99949
3590.0463	0.99958
3587.99249	0.99962
3585.93869	1.00011
3583.88489	1.00039
3581.83109	1.00006
3579.77728	1.00003
3577.72348	1.00018
3575.66968	0.99993
3573.61588	0.99948
3571.56208	0.99897
3569.50827	0.99885
3567.45447	0.99969
3565.40067	1.00064
3563.34687	1.00081
3561.29306	1.00083
3559.23926	1.00085
3557.18546	1.00043
3555.13166	0.99985
3553.07786	0.99952
3551.02405	0.99957
3548.97025	0.99976
3546.91645	0.99955
3544.86265	0.99908
3542.80884	0.99909
3540.75504	0.9993
3538.70124	0.99942
3536.64744	0.99966
3534.59364	0.99981
3532.53983	0.99956
3530.48603	0.99931
