Numero de onda	Policaprolactona2.dpt
3787.21131	1.00615
3785.15751	1.00629
3783.10371	1.00648
3781.0499	1.00626
3778.9961	1.0061
3776.9423	1.00622
3774.8885	1.00625
3772.83469	1.00637
3770.78089	1.00673
3768.72709	1.00681
3766.67329	1.0066
3764.61949	1.00673
3762.56568	1.0071
3760.51188	1.00719
3758.45808	1.007
3756.40428	1.00712
3754.35047	1.00765
3752.29667	1.00809
3750.24287	1.00785
3748.18907	1.00718
3746.13527	1.00664
3744.08146	1.00645
3742.02766	1.00662
3739.97386	1.00687
3737.92006	1.0068
3735.86625	1.0065
3733.81245	1.00666
3731.75865	1.0064
3729.70485	1.00587
3727.65105	1.00581
3725.59724	1.00569
3723.54344	1.00542
3721.48964	1.00567
3719.43584	1.00653
3717.38203	1.00703
3715.32823	1.00661
3713.27443	1.00594
3711.22063	1.00641
3709.16683	1.00762
3707.11302	1.00805
3705.05922	1.00808
3703.00542	1.00808
3700.95162	1.00804
3698.89781	1.0079
3696.84401	1.00752
3694.79021	1.00692
3692.73641	1.00618
3690.68261	1.00593
3688.6288	1.0063
3686.575	1.00648
3684.5212	1.00648
3682.4674	1.00647
3680.41359	1.0063
3678.35979	1.00588
3676.30599	1.00574
3674.25219	1.00631
3672.19839	1.0065
3670.14458	1.00643
3668.09078	1.00697
3666.03698	1.0073
3663.98318	1.00646
3661.92937	1.00516
3659.87557	1.00474
3657.82177	1.00513
3655.76797	1.00547
3653.71417	1.0056
3651.66036	1.00591
3649.60656	1.00634
3647.55276	1.00611
3645.49896	1.00559
3643.44515	1.00544
3641.39135	1.00531
3639.33755	1.00496
3637.28375	1.0051
3635.22995	1.00605
3633.17614	1.00654
3631.12234	1.0061
3629.06854	1.00615
3627.01474	1.00703
3624.96093	1.00705
3622.90713	1.00641
3620.85333	1.00618
3618.79953	1.0064
3616.74573	1.00674
3614.69192	1.00738
3612.63812	1.00783
3610.58432	1.00749
3608.53052	1.0069
3606.47671	1.00644
3604.42291	1.00598
3602.36911	1.00588
3600.31531	1.00629
3598.26151	1.00668
3596.2077	1.00677
3594.1539	1.00698
3592.1001	1.00731
3590.0463	1.00738
3587.99249	1.00738
3585.93869	1.00737
3583.88489	1.00706
3581.83109	1.00668
3579.77728	1.00673
3577.72348	1.00715
3575.66968	1.00721
3573.61588	1.00659
3571.56208	1.00585
3569.50827	1.00576
3567.45447	1.00671
3565.40067	1.00742
3563.34687	1.00694
3561.29306	1.00648
3559.23926	1.00656
3557.18546	1.00687
3555.13166	1.00694
3553.07786	1.00641
3551.02405	1.00593
3548.97025	1.00628
3546.91645	1.00684
3544.86265	1.00682
3542.80884	1.00668
3540.75504	1.00698
3538.70124	1.00712
3536.64744	1.00664
3534.59364	1.00641
3532.53983	1.00672
3530.48603	1.00696
