Numero de onda	Acido Tereftalico.0.dpt
3212.14669	0.98505
3210.09288	0.98479
3208.03908	0.9843
3205.98528	0.98357
3203.93148	0.98297
3201.87767	0.98275
3199.82387	0.98257
3197.77007	0.98185
3195.71627	0.98082
3193.66247	0.98
3191.60866	0.97951
3189.55486	0.97928
3187.50106	0.97887
3185.44726	0.97806
3183.39345	0.97733
3181.33965	0.97692
3179.28585	0.97659
3177.23205	0.97596
3175.17825	0.97512
3173.12444	0.97443
3171.07064	0.97376
3169.01684	0.97333
3166.96304	0.97336
3164.90923	0.97319
3162.85543	0.97253
3160.80163	0.97176
3158.74783	0.97118
3156.69403	0.97076
3154.64022	0.97019
3152.58642	0.96958
3150.53262	0.96915
3148.47882	0.96873
3146.42501	0.96814
3144.37121	0.96741
3142.31741	0.96649
3140.26361	0.9655
3138.20981	0.96471
3136.156	0.96395
3134.1022	0.96307
3132.0484	0.96238
3129.9946	0.96187
3127.94079	0.96125
3125.88699	0.96065
3123.83319	0.96023
3121.77939	0.95983
3119.72559	0.95933
3117.67178	0.95861
3115.61798	0.95744
3113.56418	0.95543
3111.51038	0.9518
3109.45657	0.94571
3107.40277	0.93764
3105.34897	0.9304
3103.29517	0.92756
3101.24137	0.92954
3099.18756	0.93354
3097.13376	0.93711
3095.07996	0.93933
3093.02616	0.94017
3090.97235	0.94022
3088.91855	0.93988
3086.86475	0.93928
3084.81095	0.93848
3082.75715	0.93732
3080.70334	0.93558
3078.64954	0.93321
3076.59574	0.93047
3074.54194	0.92756
3072.48813	0.92433
3070.43433	0.92095
3068.38053	0.91778
3066.32673	0.9148
3064.27293	0.91267
3062.21912	0.91266
3060.16532	0.91483
3058.11152	0.91781
3056.05772	0.9206
3054.00391	0.92284
3051.95011	0.92436
3049.89631	0.92534
3047.84251	0.92586
3045.78871	0.92589
3043.7349	0.92562
3041.6811	0.92534
3039.6273	0.92504
3037.5735	0.92461
3035.51969	0.92385
3033.46589	0.92285
3031.41209	0.92202
3029.35829	0.92127
3027.30449	0.9203
3025.25068	0.91928
3023.19688	0.91834
3021.14308	0.91735
3019.08928	0.91629
3017.03547	0.91507
3014.98167	0.91371
3012.92787	0.91245
3010.87407	0.91149
3008.82027	0.91074
3006.76646	0.90984
3004.71266	0.90872
3002.65886	0.90782
3000.60506	0.90714
2998.55125	0.90633
2996.49745	0.90556
2994.44365	0.90484
2992.38985	0.90391
2990.33605	0.90289
2988.28224	0.90194
2986.22844	0.90107
2984.17464	0.9002
