Numero de onda	polivil_alcohol.dpt
3612.63812	0.96576
3610.58432	0.96547
3608.53052	0.96552
3606.47671	0.96556
3604.42291	0.96518
3602.36911	0.96462
3600.31531	0.96438
3598.26151	0.96428
3596.2077	0.96393
3594.1539	0.96334
3592.1001	0.96252
3590.0463	0.9618
3587.99249	0.96203
3585.93869	0.96266
3583.88489	0.96238
3581.83109	0.96159
3579.77728	0.9609
3577.72348	0.96039
3575.66968	0.95981
3573.61588	0.95908
3571.56208	0.95876
3569.50827	0.95899
3567.45447	0.9593
3565.40067	0.95945
3563.34687	0.95858
3561.29306	0.95677
3559.23926	0.95544
3557.18546	0.95473
3555.13166	0.95385
3553.07786	0.95304
3551.02405	0.95272
3548.97025	0.95255
3546.91645	0.95239
3544.86265	0.95195
3542.80884	0.95061
3540.75504	0.94881
3538.70124	0.94753
3536.64744	0.947
3534.59364	0.94646
3532.53983	0.94557
3530.48603	0.94489
3528.43223	0.94427
3526.37843	0.94323
3524.32462	0.94205
3522.27082	0.94089
3520.21702	0.93955
3518.16322	0.93827
3516.10942	0.9374
3514.05561	0.93669
3512.00181	0.9356
3509.94801	0.934
3507.89421	0.93264
3505.8404	0.93194
3503.7866	0.9312
3501.7328	0.93018
3499.679	0.92913
3497.6252	0.92791
3495.57139	0.92631
3493.51759	0.92461
3491.46379	0.92314
3489.40999	0.92175
3487.35618	0.9205
3485.30238	0.91946
3483.24858	0.91851
3481.19478	0.91752
3479.14098	0.91655
3477.08717	0.91559
3475.03337	0.91424
3472.97957	0.91276
3470.92577	0.91173
3468.87196	0.91056
3466.81816	0.9086
3464.76436	0.90678
3462.71056	0.9058
3460.65676	0.9048
3458.60295	0.90351
3456.54915	0.90239
3454.49535	0.90131
3452.44155	0.89989
3450.38774	0.89809
3448.33394	0.89633
3446.28014	0.89531
3444.22634	0.89456
3442.17254	0.89322
3440.11873	0.89177
3438.06493	0.89104
3436.01113	0.89037
3433.95733	0.8886
3431.90352	0.88653
3429.84972	0.88513
3427.79592	0.8837
3425.74212	0.88213
3423.68832	0.88119
3421.63451	0.88049
3419.58071	0.87939
3417.52691	0.87814
3415.47311	0.87716
3413.4193	0.87642
3411.3655	0.87518
3409.3117	0.8732
3407.2579	0.87139
3405.2041	0.87031
3403.15029	0.86952
3401.09649	0.86843
3399.04269	0.86729
3396.98889	0.86639
3394.93508	0.86549
3392.88128	0.86437
3390.82748	0.86293
3388.77368	0.86148
3386.71988	0.8602
3384.66607	0.85905
3382.61227	0.85801
3380.55847	0.85702
3378.50467	0.85611
3376.45086	0.85537
3374.39706	0.85493
3372.34326	0.85454
3370.28946	0.85403
3368.23566	0.85313
3366.18185	0.85169
3364.12805	0.85067
3362.07425	0.8503
3360.02045	0.84965
3357.96664	0.84866
3355.91284	0.84781
3353.85904	0.8473
3351.80524	0.8471
3349.75144	0.84679
3347.69763	0.84597
3345.64383	0.845
3343.59003	0.84441
3341.53623	0.84414
3339.48242	0.84365
3337.42862	0.84241
3335.37482	0.84105
3333.32102	0.84043
3331.26722	0.84048
3329.21341	0.84073
3327.15961	0.8407
3325.10581	0.84008
3323.05201	0.83908
3320.9982	0.83833
3318.9444	0.83797
3316.8906	0.8376
3314.8368	0.83728
3312.783	0.83699
3310.72919	0.83655
3308.67539	0.83626
3306.62159	0.83651
3304.56779	0.83698
3302.51398	0.8368
3300.46018	0.83632
3298.40638	0.83622
3296.35258	0.83602
3294.29878	0.83563
3292.24497	0.83537
3290.19117	0.83519
3288.13737	0.83512
3286.08357	0.83522
3284.02976	0.83535
3281.97596	0.83521
3279.92216	0.83477
3277.86836	0.83429
3275.81456	0.83396
3273.76075	0.83392
3271.70695	0.83416
3269.65315	0.83441
3267.59935	0.8347
3265.54554	0.83518
3263.49174	0.83571
3261.43794	0.83607
3259.38414	0.83639
3257.33034	0.83688
3255.27653	0.8372
3253.22273	0.837
3251.16893	0.83682
3249.11513	0.83719
3247.06132	0.8379
3245.00752	0.83853
3242.95372	0.83883
3240.89992	0.83907
3238.84611	0.83949
3236.79231	0.83992
3234.73851	0.84039
3232.68471	0.84084
3230.63091	0.841
3228.5771	0.84104
3226.5233	0.84149
3224.4695	0.84254
3222.4157	0.84356
3220.36189	0.84436
3218.30809	0.84535
3216.25429	0.84623
3214.20049	0.84691
3212.14669	0.84775
3210.09288	0.8483
3208.03908	0.84839
3205.98528	0.84868
3203.93148	0.8495
3201.87767	0.85078
3199.82387	0.85223
3197.77007	0.85376
3195.71627	0.85531
3193.66247	0.85634
3191.60866	0.85676
3189.55486	0.85703
3187.50106	0.85751
3185.44726	0.85838
3183.39345	0.85966
3181.33965	0.86104
3179.28585	0.86214
3177.23205	0.86294
3175.17825	0.86368
3173.12444	0.86449
3171.07064	0.86548
3169.01684	0.86671
3166.96304	0.8679
3164.90923	0.86873
3162.85543	0.8695
3160.80163	0.87088
3158.74783	0.87239
3156.69403	0.87326
3154.64022	0.87411
3152.58642	0.87534
3150.53262	0.87659
3148.47882	0.87763
3146.42501	0.87851
3144.37121	0.87936
3142.31741	0.88034
3140.26361	0.88149
3138.20981	0.8828
3136.156	0.88432
3134.1022	0.8859
3132.0484	0.88722
3129.9946	0.88822
3127.94079	0.88891
3125.88699	0.88931
3123.83319	0.88979
3121.77939	0.89067
3119.72559	0.89196
3117.67178	0.89333
3115.61798	0.89426
3113.56418	0.89475
3111.51038	0.89537
3109.45657	0.89663
3107.40277	0.89842
3105.34897	0.89996
3103.29517	0.90056
3101.24137	0.90057
3099.18756	0.90099
3097.13376	0.90213
3095.07996	0.90353
3093.02616	0.90489
3090.97235	0.90632
3088.91855	0.90775
3086.86475	0.90878
3084.81095	0.90924
3082.75715	0.90967
3080.70334	0.91024
3078.64954	0.91077
3076.59574	0.91158
3074.54194	0.91277
3072.48813	0.91383
3070.43433	0.91434
3068.38053	0.91474
3066.32673	0.91544
3064.27293	0.91626
3062.21912	0.9171
3060.16532	0.91797
3058.11152	0.91872
3056.05772	0.91924
3054.00391	0.91964
3051.95011	0.92012
3049.89631	0.92098
3047.84251	0.92231
3045.78871	0.92356
3043.7349	0.92408
3041.6811	0.92416
3039.6273	0.92467
3037.5735	0.92577
3035.51969	0.92662
3033.46589	0.92682
3031.41209	0.92697
3029.35829	0.92751
3027.30449	0.92826
