Numero de onda	hidroxietil_teraftalato.dpt
3203.93148	0.79395
3201.87767	0.79781
3199.82387	0.80117
3197.77007	0.80476
3195.71627	0.80914
3193.66247	0.81346
3191.60866	0.81716
3189.55486	0.82057
3187.50106	0.82402
3185.44726	0.82754
3183.39345	0.83089
3181.33965	0.83429
3179.28585	0.83772
3177.23205	0.84058
3175.17825	0.8433
3173.12444	0.8464
3171.07064	0.84944
3169.01684	0.8519
3166.96304	0.85417
3164.90923	0.85681
3162.85543	0.85945
3160.80163	0.86182
3158.74783	0.86435
3156.69403	0.86674
3154.64022	0.86866
3152.58642	0.87057
3150.53262	0.87262
3148.47882	0.87462
3146.42501	0.87632
3144.37121	0.87791
3142.31741	0.87963
3140.26361	0.88102
3138.20981	0.88191
3136.156	0.88264
3134.1022	0.88322
3132.0484	0.88371
3129.9946	0.88437
3127.94079	0.88547
3125.88699	0.88709
3123.83319	0.88885
3121.77939	0.89073
3119.72559	0.89263
3117.67178	0.89431
3115.61798	0.89584
3113.56418	0.89702
3111.51038	0.89731
3109.45657	0.89638
3107.40277	0.89517
3105.34897	0.89526
3103.29517	0.89726
3101.24137	0.90045
3099.18756	0.90375
3097.13376	0.90644
3095.07996	0.90828
3093.02616	0.90963
3090.97235	0.91066
3088.91855	0.91147
3086.86475	0.91258
3084.81095	0.9138
3082.75715	0.91433
3080.70334	0.91421
3078.64954	0.91424
3076.59574	0.91459
3074.54194	0.91487
3072.48813	0.91504
3070.43433	0.91513
3068.38053	0.91475
3066.32673	0.91352
3064.27293	0.91117
3062.21912	0.90739
3060.16532	0.90372
3058.11152	0.90342
3056.05772	0.90715
3054.00391	0.91248
3051.95011	0.91716
3049.89631	0.92027
3047.84251	0.92189
3045.78871	0.92263
3043.7349	0.92321
3041.6811	0.92398
3039.6273	0.92486
3037.5735	0.92589
3035.51969	0.92721
3033.46589	0.92845
3031.41209	0.92911
3029.35829	0.92926
3027.30449	0.92934
3025.25068	0.92958
3023.19688	0.93005
3021.14308	0.93053
3019.08928	0.93035
3017.03547	0.92957
3014.98167	0.92904
3012.92787	0.92909
3010.87407	0.92937
3008.82027	0.9295
3006.76646	0.92909
3004.71266	0.92809
3002.65886	0.92661
3000.60506	0.92458
2998.55125	0.92204
2996.49745	0.91868
2994.44365	0.91449
2992.38985	0.90999
2990.33605	0.90482
2988.28224	0.89832
2986.22844	0.89158
2984.17464	0.88678
2982.12084	0.88489
2980.06703	0.88519
2978.01323	0.88642
2975.95943	0.8869
2973.90563	0.88415
2971.85183	0.87631
2969.79802	0.86367
2967.74422	0.84805
2965.69042	0.83253
2963.63662	0.82123
2961.58281	0.81609
2959.52901	0.81538
2957.47521	0.8169
2955.42141	0.81917
2953.36761	0.82144
2951.3138	0.82395
2949.26	0.82639
2947.2062	0.82818
2945.1524	0.83005
2943.09859	0.8328
2941.04479	0.83614
2938.99099	0.83955
2936.93719	0.84255
2934.88339	0.8446
2932.82958	0.84575
2930.77578	0.8472
2928.72198	0.84922
2926.66818	0.8497
2924.61437	0.84767
2922.56057	0.84587
2920.50677	0.84744
2918.45297	0.85264
2916.39917	0.85968
2914.34536	0.8667
2912.29156	0.87234
2910.23776	0.87631
2908.18396	0.87934
2906.13015	0.88172
2904.07635	0.88296
2902.02255	0.88268
2899.96875	0.88074
2897.91494	0.8773
2895.86114	0.87355
2893.80734	0.87075
2891.75354	0.86854
2889.69974	0.86564
2887.64593	0.86142
2885.59213	0.85601
2883.53833	0.8496
2881.48453	0.84308
2879.43072	0.83869
2877.37692	0.83777
2875.32312	0.83933
2873.26932	0.84206
2871.21552	0.84573
2869.16171	0.85081
2867.10791	0.85732
2865.05411	0.86449
2863.00031	0.87131
2860.9465	0.87698
2858.8927	0.88134
2856.8389	0.88467
2854.7851	0.88734
2852.7313	0.88936
2850.67749	0.89105
2848.62369	0.89307
2846.56989	0.89508
2844.51609	0.89691
2842.46228	0.89885
2840.40848	0.90085
2838.35468	0.90294
2836.30088	0.90506
2834.24708	0.90714
2832.19327	0.90944
2830.13947	0.91169
2828.08567	0.91344
2826.03187	0.91516
2823.97806	0.91732
2821.92426	0.9196
2819.87046	0.92152
2817.81666	0.92294
2815.76286	0.92435
2813.70905	0.92612
2811.65525	0.92783
2809.60145	0.92905
2807.54765	0.92989
2805.49384	0.93092
2803.44004	0.93244
2801.38624	0.93393
2799.33244	0.93511
2797.27864	0.93613
2795.22483	0.9369
2793.17103	0.9375
2791.11723	0.93816
2789.06343	0.93892
2787.00962	0.93968
2784.95582	0.9404
2782.90202	0.94105
2780.84822	0.94157
2778.79442	0.94201
2776.74061	0.94228
2774.68681	0.94248
2772.63301	0.943
2770.57921	0.94376
2768.5254	0.94433
2766.4716	0.94468
2764.4178	0.94511
2762.364	0.94548
2760.3102	0.94586
2758.25639	0.94646
2756.20259	0.94694
2754.14879	0.947
2752.09499	0.94683
2750.04118	0.94684
2747.98738	0.94683
2745.93358	0.94643
2743.87978	0.94569
2741.82598	0.94489
2739.77217	0.94455
2737.71837	0.94485
2735.66457	0.94507
2733.61077	0.94496
2731.55696	0.94537
2729.50316	0.9464
2727.44936	0.94709
2725.39556	0.94723
2723.34176	0.94717
2721.28795	0.94702
2719.23415	0.94709
2717.18035	0.94757
2715.12655	0.94813
2713.07274	0.94847
2711.01894	0.94883
2708.96514	0.94946
2706.91134	0.95005
2704.85754	0.95032
2702.80373	0.95057
2700.74993	0.95115
2698.69613	0.95184
2696.64233	0.95224
2694.58852	0.95247
2692.53472	0.95289
2690.48092	0.95337
2688.42712	0.95366
2686.37332	0.95373
2684.31951	0.95362
2682.26571	0.95353
2680.21191	0.95348
2678.15811	0.95347
2676.1043	0.95368
2674.0505	0.95388
2671.9967	0.95375
2669.9429	0.95369
2667.8891	0.95412
2665.83529	0.95475
2663.78149	0.95499
2661.72769	0.95489
2659.67389	0.95471
2657.62008	0.95463
2655.56628	0.95475
2653.51248	0.95495
2651.45868	0.95506
2649.40488	0.95511
2647.35107	0.95521
2645.29727	0.9551
2643.24347	0.95475
2641.18967	0.95487
2639.13586	0.95544
2637.08206	0.95582
2635.02826	0.95599
2632.97446	0.95607
2630.92066	0.9559
2628.86685	0.95571
2626.81305	0.95602
2624.75925	0.95654
2622.70545	0.95684
2620.65164	0.95741
2618.59784	0.95817
2616.54404	0.95869
2614.49024	0.95938
2612.43644	0.95989
2610.38263	0.95987
2608.32883	0.95987
2606.27503	0.96019
2604.22123	0.96054
2602.16742	0.96086
2600.11362	0.96125
2598.05982	0.96133
2596.00602	0.96154
2593.95222	0.96231
2591.89841	0.9629
2589.84461	0.96304
2587.79081	0.9629
2585.73701	0.96237
2583.6832	0.96196
2581.6294	0.96227
2579.5756	0.96271
2577.5218	0.96269
2575.468	0.96245
2573.41419	0.9622
2571.36039	0.96215
2569.30659	0.96253
2567.25279	0.96321
2565.19898	0.96343
2563.14518	0.96317
2561.09138	0.96312
2559.03758	0.96294
2556.98377	0.96233
2554.92997	0.962
2552.87617	0.96173
2550.82237	0.96105
2548.76857	0.9605
2546.71476	0.96043
2544.66096	0.96019
2542.60716	0.95984
2540.55336	0.96043
2538.49955	0.96135
2536.44575	0.96139
2534.39195	0.96098
2532.33815	0.96093
2530.28435	0.96144
2528.23054	0.96212
2526.17674	0.96262
2524.12294	0.96301
2522.06914	0.96329
2520.01533	0.96352
2517.96153	0.96391
2515.90773	0.96405
2513.85393	0.96397
2511.80013	0.96464
2509.74632	0.9658
2507.69252	0.96644
2505.63872	0.9664
2503.58492	0.96584
2501.53111	0.96502
2499.47731	0.96439
2497.42351	0.96411
2495.36971	0.96413
2493.31591	0.96439
2491.2621	0.96467
2489.2083	0.96488
2487.1545	0.96513
2485.1007	0.96547
2483.04689	0.96587
2480.99309	0.9661
2478.93929	0.96621
2476.88549	0.96669
2474.83169	0.96719
2472.77788	0.96732
2470.72408	0.96757
2468.67028	0.96789
2466.61648	0.96812
2464.56267	0.96856
2462.50887	0.96905
2460.45507	0.96919
2458.40127	0.96913
2456.34747	0.96912
2454.29366	0.96915
2452.23986	0.96956
2450.18606	0.97021
2448.13226	0.97058
2446.07845	0.97094
2444.02465	0.97102
2441.97085	0.9705
2439.91705	0.97028
2437.86325	0.97039
2435.80944	0.97038
2433.75564	0.97055
2431.70184	0.97073
2429.64804	0.97093
2427.59423	0.97145
2425.54043	0.97173
2423.48663	0.97131
2421.43283	0.97071
2419.37903	0.97049
2417.32522	0.97041
2415.27142	0.97002
2413.21762	0.96948
2411.16382	0.96934
2409.11001	0.96938
2407.05621	0.96921
2405.00241	0.96897
2402.94861	0.9687
2400.89481	0.96838
2398.841	0.96799
2396.7872	0.9678
2394.7334	0.96806
2392.6796	0.96792
2390.62579	0.96703
2388.57199	0.96649
2386.51819	0.96668
2384.46439	0.96716
2382.41059	0.96782
2380.35678	0.96838
2378.30298	0.96867
2376.24918	0.96917
2374.19538	0.97022
2372.14157	0.9714
2370.08777	0.97231
2368.03397	0.97297
2365.98017	0.97389
2363.92637	0.97553
2361.87256	0.97605
2359.81876	0.97391
2357.76496	0.97145
2355.71116	0.97041
2353.65735	0.97094
2351.60355	0.97249
2349.54975	0.97343
2347.49595	0.9733
2345.44215	0.97291
2343.38834	0.9734
2341.33454	0.97429
2339.28074	0.97425
2337.22694	0.9737
2335.17313	0.97415
2333.11933	0.97542
2331.06553	0.97532
2329.01173	0.97366
2326.95793	0.97192
2324.90412	0.9707
2322.85032	0.97071
2320.79652	0.9717
2318.74272	0.9729
2316.68891	0.97413
2314.63511	0.97418
2312.58131	0.97271
2310.52751	0.97164
2308.47371	0.97164
2306.4199	0.97197
2304.3661	0.97246
2302.3123	0.9729
2300.2585	0.97268
2298.20469	0.97194
2296.15089	0.97131
2294.09709	0.97124
2292.04329	0.97194
2289.98949	0.97268
2287.93568	0.97252
2285.88188	0.97157
2283.82808	0.97068
2281.77428	0.9707
2279.72047	0.97167
2277.66667	0.97306
2275.61287	0.97397
2273.55907	0.97426
2271.50527	0.9753
2269.45146	0.97746
2267.39766	0.97892
2265.34386	0.97912
2263.29006	0.97902
2261.23625	0.97864
2259.18245	0.97791
2257.12865	0.97782
2255.07485	0.97877
2253.02105	0.97965
2250.96724	0.97964
2248.91344	0.97879
2246.85964	0.97784
2244.80584	0.9781
2242.75203	0.97941
2240.69823	0.98009
2238.64443	0.97988
2236.59063	0.97996
2234.53683	0.98027
2232.48302	0.98008
2230.42922	0.97954
2228.37542	0.97942
2226.32162	0.98009
2224.26781	0.981
2222.21401	0.98137
2220.16021	0.98164
2218.10641	0.98261
2216.0526	0.98352
2213.9988	0.98387
2211.945	0.9836
2209.8912	0.98205
2207.8374	0.98017
2205.78359	0.97944
2203.72979	0.98022
2201.67599	0.98248
2199.62219	0.98382
2197.56838	0.98274
2195.51458	0.9815
2193.46078	0.98215
2191.40698	0.98323
2189.35318	0.98359
2187.29937	0.98502
2185.24557	0.98627
2183.19177	0.98619
2181.13797	0.98563
2179.08416	0.98301
2177.03036	0.97963
2174.97656	0.97937
2172.92276	0.98072
2170.86896	0.97961
2168.81515	0.9776
2166.76135	0.97746
2164.70755	0.97758
2162.65375	0.97646
2160.59994	0.97761
2158.54614	0.98337
2156.49234	0.98559
2154.43854	0.98112
2152.38474	0.97768
2150.33093	0.97785
2148.27713	0.97937
2146.22333	0.98031
2144.16953	0.97894
2142.11572	0.97701
2140.06192	0.97718
2138.00812	0.97786
2135.95432	0.97798
2133.90052	0.97913
2131.84671	0.98092
2129.79291	0.98112
2127.73911	0.9796
2125.68531	0.97828
2123.6315	0.9774
2121.5777	0.97678
2119.5239	0.9768
2117.4701	0.97648
2115.4163	0.97505
2113.36249	0.97347
2111.30869	0.97265
2109.25489	0.97299
2107.20109	0.97469
2105.14728	0.97685
2103.09348	0.9787
2101.03968	0.97989
2098.98588	0.97994
2096.93208	0.97927
2094.87827	0.97905
2092.82447	0.9794
2090.77067	0.97903
2088.71687	0.97858
2086.66306	0.97984
2084.60926	0.98157
2082.55546	0.98177
2080.50166	0.9814
2078.44786	0.9817
2076.39405	0.98216
2074.34025	0.98291
2072.28645	0.98453
2070.23265	0.98543
2068.17884	0.98466
2066.12504	0.98428
2064.07124	0.98534
2062.01744	0.98616
2059.96364	0.98531
2057.90983	0.98311
2055.85603	0.98192
2053.80223	0.98192
2051.74843	0.9807
2049.69462	0.98002
2047.64082	0.98148
2045.58702	0.98292
2043.53322	0.98437
2041.47942	0.98537
2039.42561	0.98478
2037.37181	0.98398
2035.31801	0.98385
2033.26421	0.98512
2031.2104	0.98737
2029.1566	0.98794
2027.1028	0.98634
2025.049	0.9842
2022.9952	0.98214
2020.94139	0.98045
2018.88759	0.97991
2016.83379	0.98171
2014.77999	0.98567
2012.72618	0.98741
2010.67238	0.98538
2008.61858	0.983
2006.56478	0.98278
2004.51098	0.98395
2002.45717	0.98326
2000.40337	0.98073
1998.34957	0.97961
1996.29577	0.98005
1994.24196	0.98064
