Numero de onda	PCL.0.dpt
3733.81245	0.99601
3731.75865	0.99635
3729.70485	0.99644
3727.65105	0.99659
3725.59724	0.99672
3723.54344	0.9967
3721.48964	0.99671
3719.43584	0.99667
3717.38203	0.9964
3715.32823	0.99628
3713.27443	0.9967
3711.22063	0.99702
3709.16683	0.99668
3707.11302	0.99643
3705.05922	0.99652
3703.00542	0.99658
3700.95162	0.99645
3698.89781	0.99648
3696.84401	0.99663
3694.79021	0.99662
3692.73641	0.99652
3690.68261	0.99646
3688.6288	0.99658
3686.575	0.9968
3684.5212	0.99682
3682.4674	0.99653
3680.41359	0.99602
3678.35979	0.99565
3676.30599	0.99573
3674.25219	0.99604
3672.19839	0.99611
3670.14458	0.99601
3668.09078	0.99596
3666.03698	0.99607
3663.98318	0.99632
3661.92937	0.99655
3659.87557	0.99658
3657.82177	0.99642
3655.76797	0.99645
3653.71417	0.99673
3651.66036	0.99669
3649.60656	0.99623
3647.55276	0.99602
3645.49896	0.99622
3643.44515	0.99617
3641.39135	0.99586
3639.33755	0.99579
3637.28375	0.99601
3635.22995	0.99611
3633.17614	0.99611
3631.12234	0.99603
3629.06854	0.99591
3627.01474	0.99606
3624.96093	0.99622
3622.90713	0.99609
3620.85333	0.99583
3618.79953	0.9958
3616.74573	0.99603
3614.69192	0.99628
3612.63812	0.99626
3610.58432	0.99608
3608.53052	0.99617
3606.47671	0.99649
3604.42291	0.9965
3602.36911	0.99637
3600.31531	0.99664
3598.26151	0.99673
3596.2077	0.99635
3594.1539	0.99617
3592.1001	0.9963
3590.0463	0.99634
3587.99249	0.99623
3585.93869	0.99624
3583.88489	0.99649
3581.83109	0.99665
3579.77728	0.99672
3577.72348	0.99697
3575.66968	0.9971
3573.61588	0.99678
3571.56208	0.99634
3569.50827	0.99621
3567.45447	0.99628
3565.40067	0.99638
3563.34687	0.99628
3561.29306	0.99597
3559.23926	0.99601
3557.18546	0.9963
3555.13166	0.99626
3553.07786	0.996
3551.02405	0.99588
3548.97025	0.99586
3546.91645	0.99582
3544.86265	0.99589
3542.80884	0.99601
3540.75504	0.99603
3538.70124	0.99603
3536.64744	0.99609
3534.59364	0.99607
3532.53983	0.99595
3530.48603	0.99589
3528.43223	0.99592
3526.37843	0.99602
3524.32462	0.99619
3522.27082	0.99636
3520.21702	0.99654
3518.16322	0.99675
3516.10942	0.9969
3514.05561	0.9969
3512.00181	0.99665
3509.94801	0.99621
3507.89421	0.99613
3505.8404	0.99647
3503.7866	0.9966
3501.7328	0.99642
3499.679	0.99636
3497.6252	0.99637
3495.57139	0.99618
3493.51759	0.99608
3491.46379	0.99644
3489.40999	0.99695
3487.35618	0.99699
3485.30238	0.99649
3483.24858	0.99605
3481.19478	0.99608
3479.14098	0.99632
3477.08717	0.9966
3475.03337	0.99692
3472.97957	0.99687
3470.92577	0.99631
3468.87196	0.99597
3466.81816	0.99604
3464.76436	0.99598
3462.71056	0.996
3460.65676	0.99624
3458.60295	0.99637
3456.54915	0.99632
3454.49535	0.99617
3452.44155	0.99617
3450.38774	0.99625
3448.33394	0.99586
3446.28014	0.9953
3444.22634	0.99525
3442.17254	0.99528
3440.11873	0.99509
3438.06493	0.99499
3436.01113	0.995
3433.95733	0.99509
3431.90352	0.99534
3429.84972	0.9958
3427.79592	0.99621
3425.74212	0.99635
3423.68832	0.99647
3421.63451	0.99678
3419.58071	0.99689
3417.52691	0.99664
3415.47311	0.99652
3413.4193	0.99677
3411.3655	0.99709
3409.3117	0.99699
3407.2579	0.9965
3405.2041	0.99613
3403.15029	0.99603
3401.09649	0.99608
3399.04269	0.99635
3396.98889	0.99666
3394.93508	0.99676
3392.88128	0.99668
3390.82748	0.99668
3388.77368	0.99676
3386.71988	0.99672
3384.66607	0.99659
3382.61227	0.9965
3380.55847	0.99646
3378.50467	0.99646
3376.45086	0.99659
3374.39706	0.99677
3372.34326	0.99696
3370.28946	0.99703
3368.23566	0.99681
3366.18185	0.99642
3364.12805	0.99621
3362.07425	0.99635
3360.02045	0.99668
3357.96664	0.99679
3355.91284	0.99671
3353.85904	0.99682
3351.80524	0.99694
3349.75144	0.99678
3347.69763	0.99656
3345.64383	0.99654
3343.59003	0.99658
3341.53623	0.99655
3339.48242	0.99654
3337.42862	0.99648
3335.37482	0.99639
3333.32102	0.99653
3331.26722	0.99679
3329.21341	0.99688
3327.15961	0.99665
3325.10581	0.99645
3323.05201	0.99647
3320.9982	0.99643
3318.9444	0.99647
3316.8906	0.99664
3314.8368	0.99672
3312.783	0.99685
3310.72919	0.99697
3308.67539	0.99665
3306.62159	0.99617
3304.56779	0.99599
3302.51398	0.99598
3300.46018	0.99596
3298.40638	0.99598
3296.35258	0.99625
3294.29878	0.99662
3292.24497	0.99664
3290.19117	0.99644
3288.13737	0.99647
3286.08357	0.99648
3284.02976	0.99608
3281.97596	0.99574
3279.92216	0.99595
3277.86836	0.9963
3275.81456	0.99633
3273.76075	0.99624
3271.70695	0.99629
3269.65315	0.99641
3267.59935	0.99641
3265.54554	0.99622
3263.49174	0.99595
3261.43794	0.99584
3259.38414	0.99594
3257.33034	0.99611
3255.27653	0.99637
