Numero de onda	poliestireno.dpt
3805.69553	0.99944
3803.64173	0.99995
3801.58793	1.00023
3799.53412	0.99981
3797.48032	0.99937
3795.42652	0.99938
3793.37272	0.99918
3791.31891	0.99887
3789.26511	0.99904
3787.21131	0.99923
3785.15751	0.99908
3783.10371	0.99903
3781.0499	0.99892
3778.9961	0.99822
3776.9423	0.99785
3774.8885	0.99839
3772.83469	0.99877
3770.78089	0.99841
3768.72709	0.99828
3766.67329	0.99853
3764.61949	0.99832
3762.56568	0.99828
3760.51188	0.99873
3758.45808	0.9987
3756.40428	0.99862
3754.35047	0.99926
3752.29667	0.99955
3750.24287	0.99906
3748.18907	0.99892
3746.13527	0.99916
3744.08146	0.99969
3742.02766	1.00003
3739.97386	1.00004
3737.92006	0.99975
3735.86625	0.99884
3733.81245	0.99816
3731.75865	0.99835
3729.70485	0.99871
3727.65105	0.99877
3725.59724	0.99874
3723.54344	0.99924
3721.48964	0.99988
3719.43584	0.9998
3717.38203	0.99945
3715.32823	0.99946
3713.27443	0.9992
3711.22063	0.99864
3709.16683	0.99869
3707.11302	0.99896
3705.05922	0.99931
3703.00542	0.99979
3700.95162	0.99983
3698.89781	0.99938
3696.84401	0.99899
3694.79021	0.99885
3692.73641	0.99892
3690.68261	0.99926
3688.6288	0.99968
3686.575	0.99995
3684.5212	1.00024
3682.4674	1.00067
3680.41359	1.00116
3678.35979	1.0016
3676.30599	1.00166
3674.25219	1.00077
3672.19839	1.00007
3670.14458	1.00009
3668.09078	0.99993
3666.03698	0.99956
3663.98318	0.99948
3661.92937	0.99955
3659.87557	0.99945
3657.82177	0.99924
3655.76797	0.99955
3653.71417	1.0004
3651.66036	1.00111
3649.60656	1.00127
3647.55276	1.00049
3645.49896	0.99979
3643.44515	1.00004
3641.39135	1.00052
3639.33755	1.00064
3637.28375	1.00058
3635.22995	1.00029
3633.17614	0.99999
3631.12234	1.00026
3629.06854	1.0008
3627.01474	1.0006
3624.96093	1.00009
3622.90713	0.99993
3620.85333	0.99992
3618.79953	0.99987
3616.74573	1.00008
3614.69192	1.00016
3612.63812	0.99947
3610.58432	0.9991
3608.53052	0.99994
3606.47671	1.00026
3604.42291	0.99948
3602.36911	0.99912
3600.31531	0.99952
3598.26151	0.99978
3596.2077	0.99966
3594.1539	0.99961
3592.1001	0.99972
3590.0463	1.0001
3587.99249	1.00064
3585.93869	1.00068
3583.88489	1.00036
