Numero de onda	polvinilpirrolidona.dpt
1708.76345	0.93139
1706.70965	0.92311
1704.65585	0.91419
1702.60205	0.90591
1700.54825	0.89377
1698.49444	0.87827
1696.44064	0.86249
1694.38684	0.8445
1692.33304	0.82856
1690.27923	0.81187
1688.22543	0.79373
1686.17163	0.77607
1684.11783	0.75237
1682.06403	0.72967
1680.01022	0.71458
1677.95642	0.7015
1675.90262	0.68774
1673.84882	0.67432
1671.79501	0.6644
1669.74121	0.65521
1667.68741	0.64646
1665.63361	0.64079
1663.57981	0.63546
1661.526	0.62936
1659.4722	0.62464
1657.4184	0.62206
1655.3646	0.62049
1653.31079	0.61798
1651.25699	0.61722
1649.20319	0.61995
1647.14939	0.62521
1645.09559	0.63311
1643.04178	0.64201
1640.98798	0.65172
1638.93418	0.66232
1636.88038	0.67471
1634.82657	0.68993
1632.77277	0.70309
1630.71897	0.71424
1628.66517	0.72641
1626.61137	0.73897
1624.55756	0.75093
1622.50376	0.76302
1620.44996	0.77347
1618.39616	0.78237
1616.34235	0.79199
1614.28855	0.80069
1612.23475	0.80811
1610.18095	0.8151
1608.12715	0.82112
1606.07334	0.82619
1604.01954	0.83092
1601.96574	0.83554
1599.91194	0.84003
1597.85813	0.84435
1595.80433	0.84829
1593.75053	0.85201
1591.69673	0.85559
1589.64293	0.85899
1587.58912	0.86222
1585.53532	0.86557
1583.48152	0.86896
1581.42772	0.87219
1579.37391	0.87509
1577.32011	0.87792
1575.26631	0.88078
1573.21251	0.88319
1571.15871	0.88545
1569.1049	0.88787
1567.0511	0.89027
1564.9973	0.89244
1562.9435	0.89439
1560.88969	0.89618
1558.83589	0.89838
1556.78209	0.90016
1554.72829	0.90146
1552.67449	0.90307
1550.62068	0.90454
1548.56688	0.90547
1546.51308	0.90642
1544.45928	0.90821
1542.40547	0.91045
1540.35167	0.91239
1538.29787	0.91355
1536.24407	0.91411
1534.19026	0.91465
1532.13646	0.91549
1530.08266	0.91652
1528.02886	0.91756
1525.97506	0.91867
1523.92125	0.91981
1521.86745	0.92048
1519.81365	0.92072
1517.75985	0.92134
1515.70604	0.92232
1513.65224	0.92281
1511.59844	0.92254
1509.54464	0.9217
1507.49084	0.91908
1505.43703	0.91412
1503.38323	0.90947
1501.32943	0.90433
1499.27563	0.89723
1497.22182	0.88849
1495.16802	0.88127
1493.11422	0.87807
1491.06042	0.87832
1489.00662	0.88169
1486.95281	0.88736
1484.89901	0.89381
1482.84521	0.90014
1480.79141	0.90548
1478.7376	0.90884
1476.6838	0.90997
1474.63	0.90834
1472.5762	0.90208
1470.5224	0.89161
1468.46859	0.87937
1466.41479	0.86379
1464.36099	0.84499
1462.30719	0.83045
1460.25338	0.82331
1458.19958	0.82292
1456.14578	0.8311
1454.09198	0.84112
1452.03818	0.84845
1449.98437	0.85254
1447.93057	0.85183
1445.87677	0.84586
1443.82297	0.83612
1441.76916	0.82418
1439.71536	0.81224
1437.66156	0.8001
1435.60776	0.78797
1433.55396	0.78015
1431.50015	0.7745
1429.44635	0.76715
1427.39255	0.75711
1425.33875	0.74444
1423.28494	0.73086
1421.23114	0.72148
1419.17734	0.72016
1417.12354	0.72894
1415.06974	0.74453
1413.01593	0.76367
1410.96213	0.78392
1408.90833	0.80221
1406.85453	0.81759
1404.80072	0.83086
1402.74692	0.84129
1400.69312	0.84938
1398.63932	0.85645
1396.58552	0.86199
1394.53171	0.86551
1392.47791	0.86701
