Numero de onda	PET_BONAFO.0.dpt
3590.0463	0.97448
3587.99249	0.97448
3585.93869	0.97459
3583.88489	0.97455
3581.83109	0.97437
3579.77728	0.97429
3577.72348	0.97436
3575.66968	0.97442
3573.61588	0.97457
3571.56208	0.97481
3569.50827	0.97473
3567.45447	0.97431
3565.40067	0.97418
3563.34687	0.97417
3561.29306	0.9738
3559.23926	0.9735
3557.18546	0.97363
3555.13166	0.97396
3553.07786	0.97408
3551.02405	0.97384
3548.97025	0.9735
3546.91645	0.97328
3544.86265	0.97327
3542.80884	0.9735
3540.75504	0.97382
3538.70124	0.97383
3536.64744	0.97367
3534.59364	0.97375
3532.53983	0.97397
3530.48603	0.97421
3528.43223	0.97425
3526.37843	0.9741
3524.32462	0.97394
3522.27082	0.97377
3520.21702	0.97387
3518.16322	0.9743
3516.10942	0.97457
3514.05561	0.97451
3512.00181	0.9743
3509.94801	0.97408
3507.89421	0.97409
3505.8404	0.97441
3503.7866	0.97465
3501.7328	0.97459
3499.679	0.97443
3497.6252	0.97437
3495.57139	0.97449
3493.51759	0.97475
3491.46379	0.97489
3489.40999	0.97479
3487.35618	0.97453
3485.30238	0.97446
3483.24858	0.97468
3481.19478	0.9748
3479.14098	0.97464
3477.08717	0.97449
3475.03337	0.97455
3472.97957	0.97469
3470.92577	0.97472
3468.87196	0.97464
3466.81816	0.97467
3464.76436	0.97472
3462.71056	0.97449
3460.65676	0.97436
3458.60295	0.9744
3456.54915	0.97419
3454.49535	0.97396
3452.44155	0.97391
3450.38774	0.97375
3448.33394	0.97356
3446.28014	0.97365
3444.22634	0.97361
3442.17254	0.97331
3440.11873	0.9731
3438.06493	0.97269
3436.01113	0.97207
3433.95733	0.97194
3431.90352	0.9724
3429.84972	0.97262
3427.79592	0.97241
3425.74212	0.97241
3423.68832	0.97275
3421.63451	0.97313
3419.58071	0.97332
3417.52691	0.97329
3415.47311	0.97318
3413.4193	0.97319
3411.3655	0.97352
3409.3117	0.97406
3407.2579	0.97435
3405.2041	0.97425
3403.15029	0.97414
3401.09649	0.9742
3399.04269	0.9744
3396.98889	0.97465
3394.93508	0.9747
3392.88128	0.97457
3390.82748	0.97456
3388.77368	0.97475
3386.71988	0.97497
3384.66607	0.975
3382.61227	0.97475
3380.55847	0.97464
3378.50467	0.9748
3376.45086	0.97511
3374.39706	0.9755
3372.34326	0.97548
3370.28946	0.97498
3368.23566	0.9747
3366.18185	0.97484
3364.12805	0.97498
3362.07425	0.97492
3360.02045	0.97458
3357.96664	0.97416
3355.91284	0.97403
3353.85904	0.97425
3351.80524	0.97453
3349.75144	0.97457
3347.69763	0.97448
3345.64383	0.9745
3343.59003	0.97459
3341.53623	0.97456
3339.48242	0.97443
3337.42862	0.97436
3335.37482	0.97422
3333.32102	0.97389
3331.26722	0.97378
3329.21341	0.97413
3327.15961	0.97445
3325.10581	0.9743
3323.05201	0.97409
3320.9982	0.97415
3318.9444	0.97415
3316.8906	0.97399
3314.8368	0.9738
3312.783	0.9736
3310.72919	0.97352
3308.67539	0.97373
3306.62159	0.97417
3304.56779	0.97439
3302.51398	0.97436
3300.46018	0.97434
3298.40638	0.9742
3296.35258	0.97389
3294.29878	0.97377
3292.24497	0.97399
3290.19117	0.97436
3288.13737	0.97458
3286.08357	0.9746
3284.02976	0.97453
3281.97596	0.97453
3279.92216	0.97464
3277.86836	0.97475
3275.81456	0.97463
3273.76075	0.97435
3271.70695	0.97431
3269.65315	0.97457
3267.59935	0.97462
3265.54554	0.97436
3263.49174	0.97428
3261.43794	0.97448
3259.38414	0.97447
3257.33034	0.9742
3255.27653	0.97401
3253.22273	0.97407
3251.16893	0.97427
3249.11513	0.97423
3247.06132	0.97398
3245.00752	0.9739
3242.95372	0.97413
3240.89992	0.97447
3238.84611	0.97446
3236.79231	0.97419
3234.73851	0.97403
3232.68471	0.97401
3230.63091	0.97409
3228.5771	0.97426
3226.5233	0.97433
3224.4695	0.97429
3222.4157	0.97433
3220.36189	0.97454
3218.30809	0.97472
3216.25429	0.97475
3214.20049	0.97472
3212.14669	0.97465
3210.09288	0.97458
3208.03908	0.97455
3205.98528	0.9745
3203.93148	0.9743
3201.87767	0.97403
3199.82387	0.97391
3197.77007	0.97407
3195.71627	0.97425
3193.66247	0.97414
3191.60866	0.97387
3189.55486	0.97376
3187.50106	0.9739
3185.44726	0.9741
3183.39345	0.97426
3181.33965	0.9745
3179.28585	0.97465
3177.23205	0.97455
3175.17825	0.97437
3173.12444	0.9743
3171.07064	0.97421
3169.01684	0.97392
3166.96304	0.97376
3164.90923	0.97394
3162.85543	0.97424
3160.80163	0.97446
3158.74783	0.97447
3156.69403	0.97425
3154.64022	0.97424
3152.58642	0.97456
3150.53262	0.97483
3148.47882	0.9749
3146.42501	0.97477
3144.37121	0.97441
3142.31741	0.97395
3140.26361	0.97358
3138.20981	0.97341
3136.156	0.97341
3134.1022	0.97343
3132.0484	0.97329
3129.9946	0.97294
3127.94079	0.97281
3125.88699	0.97301
3123.83319	0.9732
3121.77939	0.97322
3119.72559	0.97305
3117.67178	0.97274
3115.61798	0.9725
3113.56418	0.97245
3111.51038	0.97235
3109.45657	0.972
3107.40277	0.97169
3105.34897	0.97162
3103.29517	0.97163
