Numero de onda	PLA.1.dpt
3645.49896	0.9929
3643.44515	0.99292
3641.39135	0.99302
3639.33755	0.993
3637.28375	0.99294
3635.22995	0.99297
3633.17614	0.99302
3631.12234	0.99291
3629.06854	0.99284
3627.01474	0.99295
3624.96093	0.993
3622.90713	0.99295
3620.85333	0.99291
3618.79953	0.99304
3616.74573	0.99314
3614.69192	0.99303
3612.63812	0.99312
3610.58432	0.99333
3608.53052	0.99322
3606.47671	0.99304
3604.42291	0.99331
3602.36911	0.99368
3600.31531	0.99374
3598.26151	0.99376
3596.2077	0.9939
3594.1539	0.99396
3592.1001	0.99378
3590.0463	0.9935
3587.99249	0.99329
3585.93869	0.99326
3583.88489	0.99346
3581.83109	0.99356
3579.77728	0.99343
3577.72348	0.99329
3575.66968	0.99312
3573.61588	0.99296
3571.56208	0.99304
3569.50827	0.99322
3567.45447	0.99333
3565.40067	0.9935
3563.34687	0.99347
3561.29306	0.99312
3559.23926	0.99282
3557.18546	0.99281
3555.13166	0.99294
3553.07786	0.99306
3551.02405	0.99314
3548.97025	0.99326
3546.91645	0.99339
3544.86265	0.99331
3542.80884	0.99301
3540.75504	0.99287
3538.70124	0.99297
3536.64744	0.99299
3534.59364	0.99304
3532.53983	0.99322
3530.48603	0.99312
3528.43223	0.99279
3526.37843	0.99256
3524.32462	0.99242
3522.27082	0.99221
3520.21702	0.9921
3518.16322	0.99226
3516.10942	0.9925
3514.05561	0.99258
3512.00181	0.99252
3509.94801	0.99248
3507.89421	0.99245
3505.8404	0.99244
3503.7866	0.99245
3501.7328	0.99243
3499.679	0.99256
3497.6252	0.99264
3495.57139	0.99251
3493.51759	0.99236
3491.46379	0.99222
3489.40999	0.99214
3487.35618	0.9923
3485.30238	0.99247
3483.24858	0.99259
3481.19478	0.99275
3479.14098	0.9928
3477.08717	0.99288
3475.03337	0.99302
3472.97957	0.99302
3470.92577	0.99293
3468.87196	0.99291
3466.81816	0.99307
3464.76436	0.99328
3462.71056	0.99332
3460.65676	0.99326
3458.60295	0.99339
3456.54915	0.99367
3454.49535	0.99387
3452.44155	0.99382
3450.38774	0.99357
3448.33394	0.99341
3446.28014	0.99336
3444.22634	0.99328
3442.17254	0.9933
3440.11873	0.99341
3438.06493	0.99332
3436.01113	0.99319
3433.95733	0.99336
3431.90352	0.9937
3429.84972	0.99394
3427.79592	0.99398
3425.74212	0.9939
3423.68832	0.99387
3421.63451	0.99392
3419.58071	0.99401
3417.52691	0.994
3415.47311	0.99385
3413.4193	0.99362
3411.3655	0.99339
3409.3117	0.99334
3407.2579	0.99343
3405.2041	0.99344
3403.15029	0.99337
3401.09649	0.99337
3399.04269	0.99341
3396.98889	0.99344
3394.93508	0.99344
3392.88128	0.99355
3390.82748	0.99386
3388.77368	0.99402
3386.71988	0.9939
3384.66607	0.99374
3382.61227	0.99361
3380.55847	0.9934
3378.50467	0.99307
3376.45086	0.99295
3374.39706	0.99321
3372.34326	0.99345
3370.28946	0.99356
3368.23566	0.99366
3366.18185	0.99353
3364.12805	0.99315
3362.07425	0.99293
3360.02045	0.99305
3357.96664	0.99329
3355.91284	0.99341
3353.85904	0.99339
3351.80524	0.99332
3349.75144	0.99336
3347.69763	0.99369
3345.64383	0.99388
3343.59003	0.99356
3341.53623	0.9933
3339.48242	0.99348
3337.42862	0.9937
3335.37482	0.99392
3333.32102	0.99416
3331.26722	0.99417
3329.21341	0.99392
3327.15961	0.99372
3325.10581	0.99375
3323.05201	0.99363
3320.9982	0.99328
3318.9444	0.9932
3316.8906	0.99341
3314.8368	0.99343
3312.783	0.99332
3310.72919	0.99335
3308.67539	0.99343
3306.62159	0.99328
3304.56779	0.99319
3302.51398	0.9935
3300.46018	0.99375
3298.40638	0.9936
3296.35258	0.99333
3294.29878	0.99303
3292.24497	0.99285
3290.19117	0.99297
3288.13737	0.99312
3286.08357	0.99328
3284.02976	0.99361
3281.97596	0.99371
3279.92216	0.99359
3277.86836	0.99355
3275.81456	0.99349
3273.76075	0.99331
3271.70695	0.99328
3269.65315	0.99343
3267.59935	0.99359
3265.54554	0.99356
3263.49174	0.99321
3261.43794	0.99287
3259.38414	0.99297
3257.33034	0.9932
3255.27653	0.99325
3253.22273	0.99332
3251.16893	0.99351
3249.11513	0.99372
3247.06132	0.99382
3245.00752	0.99386
3242.95372	0.99394
3240.89992	0.99389
3238.84611	0.99372
3236.79231	0.99372
