Numero de onda	Acido_polilactico2.dpt
3318.9444	0.99847
3316.8906	0.99823
3314.8368	0.99835
3312.783	0.99821
3310.72919	0.99758
3308.67539	0.99726
3306.62159	0.99719
3304.56779	0.99739
3302.51398	0.99804
3300.46018	0.99866
3298.40638	0.99872
3296.35258	0.99816
3294.29878	0.99763
3292.24497	0.99785
3290.19117	0.99827
3288.13737	0.99845
3286.08357	0.99891
3284.02976	0.99944
3281.97596	0.99964
3279.92216	0.99975
3277.86836	0.99967
3275.81456	0.99962
3273.76075	1.00012
3271.70695	1.00048
3269.65315	1.0003
3267.59935	1.00041
3265.54554	1.00051
3263.49174	1.00001
3261.43794	0.99974
3259.38414	1.00002
3257.33034	1.00031
3255.27653	1.00039
3253.22273	1.00021
3251.16893	1.00015
3249.11513	1.00017
3247.06132	0.99978
3245.00752	0.9996
3242.95372	1.00005
3240.89992	1.00067
3238.84611	1.00088
3236.79231	1.00041
3234.73851	0.99947
3232.68471	0.99852
3230.63091	0.99821
3228.5771	0.99862
3226.5233	0.99873
3224.4695	0.9979
3222.4157	0.99719
3220.36189	0.99722
3218.30809	0.99727
3216.25429	0.99715
3214.20049	0.99728
3212.14669	0.99749
3210.09288	0.9976
3208.03908	0.99773
3205.98528	0.99782
3203.93148	0.99802
3201.87767	0.99846
3199.82387	0.99874
3197.77007	0.99901
3195.71627	0.99946
3193.66247	0.99986
3191.60866	1.00029
3189.55486	1.00058
3187.50106	1.00019
3185.44726	0.99971
3183.39345	0.99975
3181.33965	0.99968
3179.28585	0.99953
3177.23205	1.00004
3175.17825	1.00069
3173.12444	1.0008
3171.07064	1.00071
3169.01684	1.00068
3166.96304	1.00086
3164.90923	1.00115
3162.85543	1.00089
3160.80163	0.99998
3158.74783	0.99948
3156.69403	0.99993
3154.64022	1.00056
3152.58642	1.00058
3150.53262	1.00011
3148.47882	0.99957
3146.42501	0.99913
3144.37121	0.9989
3142.31741	0.99873
3140.26361	0.99845
3138.20981	0.99816
3136.156	0.99794
3134.1022	0.99772
3132.0484	0.99738
3129.9946	0.99717
3127.94079	0.99724
3125.88699	0.99713
3123.83319	0.99689
3121.77939	0.99708
3119.72559	0.99769
3117.67178	0.99823
3115.61798	0.99843
3113.56418	0.99845
3111.51038	0.99842
3109.45657	0.99848
3107.40277	0.99896
3105.34897	0.99944
3103.29517	0.99945
3101.24137	0.99921
3099.18756	0.99896
3097.13376	0.99884
3095.07996	0.99891
3093.02616	0.9992
3090.97235	0.99962
3088.91855	1.00008
3086.86475	1.00037
3084.81095	1.00025
3082.75715	1.00004
3080.70334	1.00034
3078.64954	1.00094
3076.59574	1.00119
3074.54194	1.001
3072.48813	1.0008
3070.43433	1.00079
3068.38053	1.00068
3066.32673	1.00045
3064.27293	1.00033
3062.21912	1.00007
3060.16532	0.99932
3058.11152	0.99848
3056.05772	0.99816
3054.00391	0.99809
3051.95011	0.99775
3049.89631	0.99743
3047.84251	0.99735
3045.78871	0.99718
3043.7349	0.99704
3041.6811	0.99719
3039.6273	0.9973
3037.5735	0.99728
