Numero de onda	PET.1.dpt
3382.61227	0.99978
3380.55847	0.99987
3378.50467	0.9998
3376.45086	0.99979
3374.39706	0.99988
3372.34326	0.99984
3370.28946	0.99973
3368.23566	0.99987
3366.18185	1.00011
3364.12805	1.00004
3362.07425	0.99985
3360.02045	0.99982
3357.96664	0.99984
3355.91284	0.99977
3353.85904	0.99964
3351.80524	0.99961
3349.75144	0.99971
3347.69763	0.99976
3345.64383	0.99965
3343.59003	0.99952
3341.53623	0.99953
3339.48242	0.99956
3337.42862	0.99952
3335.37482	0.99945
3333.32102	0.99938
3331.26722	0.99934
3329.21341	0.99942
3327.15961	0.9996
3325.10581	0.99972
3323.05201	0.99973
3320.9982	0.99986
3318.9444	0.99998
3316.8906	1.0
3314.8368	1.00006
3312.783	0.99997
3310.72919	0.99964
3308.67539	0.99927
3306.62159	0.9993
3304.56779	0.9997
3302.51398	0.99996
3300.46018	0.99986
3298.40638	0.99946
3296.35258	0.99904
3294.29878	0.99916
3292.24497	0.99964
3290.19117	0.99979
3288.13737	0.99974
3286.08357	0.99995
3284.02976	1.00014
3281.97596	1.0001
3279.92216	1.00019
3277.86836	1.00052
3275.81456	1.00075
3273.76075	1.00063
3271.70695	1.00037
3269.65315	1.00022
3267.59935	1.00021
3265.54554	1.00023
3263.49174	1.00027
3261.43794	1.00027
3259.38414	1.0003
3257.33034	1.00053
3255.27653	1.00076
3253.22273	1.00094
3251.16893	1.00099
3249.11513	1.00089
3247.06132	1.00085
3245.00752	1.00083
3242.95372	1.00077
3240.89992	1.00082
3238.84611	1.0009
3236.79231	1.00087
3234.73851	1.00098
3232.68471	1.00125
3230.63091	1.00111
3228.5771	1.00045
3226.5233	1.00002
3224.4695	1.00007
3222.4157	1.00012
3220.36189	1.00024
3218.30809	1.00078
3216.25429	1.00143
3214.20049	1.00157
3212.14669	1.00135
3210.09288	1.00128
3208.03908	1.00118
3205.98528	1.00099
3203.93148	1.00106
3201.87767	1.00126
3199.82387	1.00122
3197.77007	1.00098
3195.71627	1.00091
3193.66247	1.00105
3191.60866	1.00122
3189.55486	1.00137
3187.50106	1.00129
3185.44726	1.00109
3183.39345	1.00115
3181.33965	1.00127
3179.28585	1.00125
3177.23205	1.00114
3175.17825	1.00115
3173.12444	1.00131
3171.07064	1.0013
3169.01684	1.00122
3166.96304	1.00142
3164.90923	1.00158
3162.85543	1.00152
3160.80163	1.00138
3158.74783	1.00127
3156.69403	1.00129
3154.64022	1.00132
3152.58642	1.00115
3150.53262	1.00097
3148.47882	1.00096
3146.42501	1.00099
3144.37121	1.00099
3142.31741	1.00095
3140.26361	1.00097
3138.20981	1.00106
3136.156	1.00096
3134.1022	1.0007
3132.0484	1.00061
3129.9946	1.00067
3127.94079	1.00059
3125.88699	1.00054
3123.83319	1.00071
3121.77939	1.00103
3119.72559	1.00139
3117.67178	1.00156
3115.61798	1.00142
3113.56418	1.00104
3111.51038	1.00059
3109.45657	1.00033
3107.40277	1.00021
3105.34897	1.00004
3103.29517	1.00005
3101.24137	1.00047
3099.18756	1.00096
3097.13376	1.00106
3095.07996	1.00081
3093.02616	1.00049
3090.97235	1.00012
3088.91855	0.99983
3086.86475	0.99975
3084.81095	0.99977
3082.75715	0.9998
3080.70334	0.99966
3078.64954	0.99926
3076.59574	0.9991
3074.54194	0.99937
3072.48813	0.9997
3070.43433	0.99987
3068.38053	0.99999
3066.32673	1.00008
3064.27293	1.00001
3062.21912	0.99995
3060.16532	0.99986
3058.11152	0.99951
3056.05772	0.99914
3054.00391	0.99914
3051.95011	0.9996
3049.89631	1.00004
3047.84251	1.00026
3045.78871	1.00049
3043.7349	1.00071
3041.6811	1.00086
3039.6273	1.00092
3037.5735	1.00093
3035.51969	1.00089
3033.46589	1.00074
3031.41209	1.00062
