Numero de onda	Polyvinyl chloride.dpt
3427.79592	0.99151
3425.74212	0.99138
3423.68832	0.99131
3421.63451	0.99144
3419.58071	0.99161
3417.52691	0.99171
3415.47311	0.99172
3413.4193	0.99163
3411.3655	0.9914
3409.3117	0.99113
3407.2579	0.99104
3405.2041	0.99115
3403.15029	0.99118
3401.09649	0.99113
3399.04269	0.99114
3396.98889	0.99124
3394.93508	0.99139
3392.88128	0.99139
3390.82748	0.99129
3388.77368	0.99128
3386.71988	0.99129
3384.66607	0.99137
3382.61227	0.99153
3380.55847	0.99153
3378.50467	0.99135
3376.45086	0.99112
3374.39706	0.99097
3372.34326	0.99094
3370.28946	0.99097
3368.23566	0.99118
3366.18185	0.99132
3364.12805	0.99108
3362.07425	0.99097
3360.02045	0.99123
3357.96664	0.99148
3355.91284	0.9916
3353.85904	0.9915
3351.80524	0.99135
3349.75144	0.99144
3347.69763	0.9916
3345.64383	0.99154
3343.59003	0.99139
3341.53623	0.99114
3339.48242	0.99084
3337.42862	0.99089
3335.37482	0.99122
3333.32102	0.99147
3331.26722	0.99159
3329.21341	0.99162
3327.15961	0.99163
3325.10581	0.99158
3323.05201	0.99143
3320.9982	0.99135
3318.9444	0.99135
3316.8906	0.99126
3314.8368	0.99107
3312.783	0.99101
3310.72919	0.99122
3308.67539	0.99142
3306.62159	0.99154
3304.56779	0.99175
3302.51398	0.99176
3300.46018	0.99155
3298.40638	0.99147
3296.35258	0.99155
3294.29878	0.99174
3292.24497	0.99187
3290.19117	0.99174
3288.13737	0.99162
3286.08357	0.99169
3284.02976	0.99182
3281.97596	0.99195
3279.92216	0.99214
3277.86836	0.99243
3275.81456	0.99258
3273.76075	0.99237
3271.70695	0.99206
3269.65315	0.9918
3267.59935	0.9917
3265.54554	0.992
3263.49174	0.99237
3261.43794	0.99247
3259.38414	0.99234
3257.33034	0.99232
3255.27653	0.99263
3253.22273	0.99295
3251.16893	0.99294
3249.11513	0.99265
3247.06132	0.99221
3245.00752	0.99195
3242.95372	0.99226
3240.89992	0.99269
3238.84611	0.99272
3236.79231	0.99277
3234.73851	0.99321
3232.68471	0.9935
3230.63091	0.99314
3228.5771	0.99253
3226.5233	0.99233
3224.4695	0.99252
3222.4157	0.99254
3220.36189	0.99233
3218.30809	0.99242
3216.25429	0.9928
3214.20049	0.99299
3212.14669	0.99312
3210.09288	0.99329
3208.03908	0.99318
3205.98528	0.99296
3203.93148	0.99316
3201.87767	0.99368
3199.82387	0.99395
3197.77007	0.99368
3195.71627	0.99329
3193.66247	0.99322
3191.60866	0.99343
3189.55486	0.99384
3187.50106	0.99403
3185.44726	0.99382
3183.39345	0.99346
3181.33965	0.9931
3179.28585	0.99304
3177.23205	0.99332
3175.17825	0.99361
3173.12444	0.99368
3171.07064	0.99338
3169.01684	0.9931
3166.96304	0.99328
3164.90923	0.99359
3162.85543	0.99374
3160.80163	0.99379
3158.74783	0.9939
3156.69403	0.9939
3154.64022	0.99373
3152.58642	0.99374
3150.53262	0.9938
3148.47882	0.99363
3146.42501	0.99341
3144.37121	0.99321
3142.31741	0.99296
3140.26361	0.99297
3138.20981	0.9932
3136.156	0.9932
3134.1022	0.99321
3132.0484	0.99339
3129.9946	0.99351
3127.94079	0.99357
3125.88699	0.99374
3123.83319	0.9938
3121.77939	0.99366
3119.72559	0.9937
3117.67178	0.994
3115.61798	0.9941
3113.56418	0.99379
3111.51038	0.99358
3109.45657	0.99366
3107.40277	0.99368
3105.34897	0.99367
3103.29517	0.99383
3101.24137	0.99394
3099.18756	0.99396
3097.13376	0.99389
3095.07996	0.99363
3093.02616	0.99336
3090.97235	0.99322
3088.91855	0.99327
3086.86475	0.99353
3084.81095	0.99386
3082.75715	0.99405
3080.70334	0.99388
3078.64954	0.99346
3076.59574	0.99317
3074.54194	0.9932
3072.48813	0.99341
3070.43433	0.9936
3068.38053	0.99377
3066.32673	0.99376
3064.27293	0.99369
3062.21912	0.99397
3060.16532	0.99414
3058.11152	0.9938
3056.05772	0.99351
3054.00391	0.99361
3051.95011	0.99386
3049.89631	0.994
3047.84251	0.99396
3045.78871	0.99374
3043.7349	0.99351
3041.6811	0.99344
3039.6273	0.99341
3037.5735	0.99353
3035.51969	0.99384
3033.46589	0.99405
3031.41209	0.9941
3029.35829	0.99395
3027.30449	0.99358
3025.25068	0.99341
3023.19688	0.99362
3021.14308	0.99393
3019.08928	0.99399
3017.03547	0.99376
3014.98167	0.9936
3012.92787	0.99374
3010.87407	0.99386
3008.82027	0.99379
