Numero de onda	Policaprolactona.1.dpt
3762.56568	0.99231
3760.51188	0.99302
3758.45808	0.99355
3756.40428	0.9933
3754.35047	0.99332
3752.29667	0.99419
3750.24287	0.99467
3748.18907	0.99421
3746.13527	0.99443
3744.08146	0.99505
3742.02766	0.99452
3739.97386	0.9939
3737.92006	0.99441
3735.86625	0.99536
3733.81245	0.99471
3731.75865	0.99305
3729.70485	0.9922
3727.65105	0.99239
3725.59724	0.99292
3723.54344	0.99322
3721.48964	0.9934
3719.43584	0.9933
3717.38203	0.99279
3715.32823	0.99255
3713.27443	0.99277
3711.22063	0.99266
3709.16683	0.99204
3707.11302	0.99167
3705.05922	0.99163
3703.00542	0.99191
3700.95162	0.99246
3698.89781	0.99274
3696.84401	0.99267
3694.79021	0.99257
3692.73641	0.99282
3690.68261	0.99359
3688.6288	0.99388
3686.575	0.99323
3684.5212	0.99277
3682.4674	0.99279
3680.41359	0.99301
3678.35979	0.99327
3676.30599	0.99354
3674.25219	0.99351
3672.19839	0.9933
3670.14458	0.99314
3668.09078	0.9925
3666.03698	0.9918
3663.98318	0.99165
3661.92937	0.99183
3659.87557	0.99204
3657.82177	0.99254
3655.76797	0.99299
3653.71417	0.99316
3651.66036	0.99424
3649.60656	0.99609
3647.55276	0.99543
3645.49896	0.99348
3643.44515	0.99272
3641.39135	0.99248
3639.33755	0.99219
3637.28375	0.99207
3635.22995	0.99218
3633.17614	0.99254
3631.12234	0.9935
3629.06854	0.99496
3627.01474	0.99448
3624.96093	0.99282
3622.90713	0.99228
3620.85333	0.99289
3618.79953	0.99359
3616.74573	0.99374
3614.69192	0.99387
3612.63812	0.99394
3610.58432	0.99369
3608.53052	0.99363
3606.47671	0.99352
3604.42291	0.9931
3602.36911	0.99284
3600.31531	0.99302
3598.26151	0.99353
3596.2077	0.9941
3594.1539	0.99414
3592.1001	0.99372
3590.0463	0.99384
3587.99249	0.99442
3585.93869	0.99402
3583.88489	0.99303
3581.83109	0.99269
3579.77728	0.99301
3577.72348	0.99333
3575.66968	0.99327
3573.61588	0.99325
3571.56208	0.99343
3569.50827	0.99421
3567.45447	0.99544
3565.40067	0.99524
3563.34687	0.99401
3561.29306	0.99331
3559.23926	0.99287
3557.18546	0.99241
3555.13166	0.99249
