Numero de onda	Bis2 hidroxiet tereftalato.1.dpt
3551.02405	0.9777
3548.97025	0.97694
3546.91645	0.9763
3544.86265	0.97554
3542.80884	0.97431
3540.75504	0.97297
3538.70124	0.97171
3536.64744	0.97026
3534.59364	0.96894
3532.53983	0.9681
3530.48603	0.96716
3528.43223	0.96593
3526.37843	0.96487
3524.32462	0.96375
3522.27082	0.96216
3520.21702	0.96055
3518.16322	0.9595
3516.10942	0.95867
3514.05561	0.95768
3512.00181	0.95661
3509.94801	0.95558
3507.89421	0.95457
3505.8404	0.95353
3503.7866	0.95255
3501.7328	0.95137
3499.679	0.94958
3497.6252	0.94745
3495.57139	0.94545
3493.51759	0.94353
3491.46379	0.94151
3489.40999	0.93952
3487.35618	0.93763
3485.30238	0.93572
3483.24858	0.9336
3481.19478	0.93097
3479.14098	0.92816
3477.08717	0.92588
3475.03337	0.92399
3472.97957	0.92189
3470.92577	0.91962
3468.87196	0.91752
3466.81816	0.91536
3464.76436	0.91286
3462.71056	0.91021
3460.65676	0.90734
3458.60295	0.90391
3456.54915	0.89992
3454.49535	0.89584
3452.44155	0.89203
3450.38774	0.88858
3448.33394	0.8856
3446.28014	0.8831
3444.22634	0.88131
3442.17254	0.88047
3440.11873	0.88018
3438.06493	0.88002
3436.01113	0.88016
3433.95733	0.88077
3431.90352	0.88159
3429.84972	0.88239
3427.79592	0.88314
3425.74212	0.88362
3423.68832	0.88349
3421.63451	0.88264
3419.58071	0.88132
3417.52691	0.88013
3415.47311	0.87932
3413.4193	0.87904
3411.3655	0.87938
3409.3117	0.88023
3407.2579	0.88131
3405.2041	0.88208
3403.15029	0.88211
3401.09649	0.88172
3399.04269	0.88138
3396.98889	0.881
3394.93508	0.88035
3392.88128	0.87912
3390.82748	0.87773
3388.77368	0.87685
3386.71988	0.87601
3384.66607	0.87491
3382.61227	0.87363
3380.55847	0.87217
3378.50467	0.87079
3376.45086	0.86945
3374.39706	0.86773
3372.34326	0.86558
3370.28946	0.86344
3368.23566	0.86149
3366.18185	0.85952
3364.12805	0.85742
3362.07425	0.85502
3360.02045	0.85233
3357.96664	0.84961
3355.91284	0.84675
3353.85904	0.84364
3351.80524	0.84053
3349.75144	0.83758
3347.69763	0.83455
3345.64383	0.8313
3343.59003	0.82794
3341.53623	0.82446
3339.48242	0.82093
3337.42862	0.8176
3335.37482	0.81434
3333.32102	0.81088
3331.26722	0.80729
3329.21341	0.80387
3327.15961	0.80066
3325.10581	0.79746
3323.05201	0.79436
3320.9982	0.7915
3318.9444	0.78867
3316.8906	0.78571
3314.8368	0.78288
3312.783	0.78017
3310.72919	0.7772
3308.67539	0.77423
3306.62159	0.77173
3304.56779	0.76952
3302.51398	0.76711
3300.46018	0.76447
3298.40638	0.76197
3296.35258	0.7603
3294.29878	0.75955
3292.24497	0.7588
3290.19117	0.75777
3288.13737	0.75698
3286.08357	0.7566
3284.02976	0.75646
3281.97596	0.75662
3279.92216	0.75717
3277.86836	0.75806
3275.81456	0.75897
3273.76075	0.75968
3271.70695	0.76044
3269.65315	0.76124
3267.59935	0.76192
3265.54554	0.76278
3263.49174	0.76388
3261.43794	0.76502
3259.38414	0.76602
3257.33034	0.7668
3255.27653	0.76751
3253.22273	0.76831
3251.16893	0.76924
3249.11513	0.77033
3247.06132	0.77157
3245.00752	0.77267
3242.95372	0.77353
3240.89992	0.77456
3238.84611	0.77595
3236.79231	0.77764
3234.73851	0.77952
3232.68471	0.7813
3230.63091	0.78278
3228.5771	0.78438
3226.5233	0.78666
3224.4695	0.78939
3222.4157	0.79218
3220.36189	0.79532
3218.30809	0.79886
3216.25429	0.80237
3214.20049	0.80597
3212.14669	0.80991
3210.09288	0.81398
3208.03908	0.81773
3205.98528	0.82131
3203.93148	0.82537
3201.87767	0.82976
3199.82387	0.83373
3197.77007	0.83708
3195.71627	0.84046
3193.66247	0.84436
3191.60866	0.84831
3189.55486	0.85192
3187.50106	0.85542
3185.44726	0.85894
3183.39345	0.86232
3181.33965	0.86548
3179.28585	0.86848
3177.23205	0.87132
3175.17825	0.87411
3173.12444	0.87691
3171.07064	0.87949
3169.01684	0.88194
3166.96304	0.88463
3164.90923	0.88744
3162.85543	0.88984
3160.80163	0.89186
3158.74783	0.89386
3156.69403	0.89589
3154.64022	0.89793
3152.58642	0.90002
3150.53262	0.90213
3148.47882	0.9039
3146.42501	0.90523
3144.37121	0.90645
3142.31741	0.90767
3140.26361	0.90891
3138.20981	0.91008
3136.156	0.91072
3134.1022	0.91105
3132.0484	0.91167
3129.9946	0.91244
3127.94079	0.91329
3125.88699	0.91454
3123.83319	0.9163
3121.77939	0.91839
3119.72559	0.92041
3117.67178	0.9221
3115.61798	0.92347
3113.56418	0.92426
3111.51038	0.92422
3109.45657	0.92366
3107.40277	0.92324
3105.34897	0.9238
3103.29517	0.92587
3101.24137	0.92862
3099.18756	0.93097
3097.13376	0.93277
3095.07996	0.93428
3093.02616	0.93559
3090.97235	0.93677
3088.91855	0.93782
3086.86475	0.93867
3084.81095	0.93917
3082.75715	0.93944
3080.70334	0.93982
3078.64954	0.94016
3076.59574	0.94031
3074.54194	0.94056
3072.48813	0.94092
3070.43433	0.94107
3068.38053	0.94083
3066.32673	0.93982
3064.27293	0.93733
3062.21912	0.93319
3060.16532	0.92915
3058.11152	0.92837
3056.05772	0.93184
3054.00391	0.93712
3051.95011	0.94163
3049.89631	0.94471
3047.84251	0.94683
3045.78871	0.94817
3043.7349	0.94889
3041.6811	0.94949
3039.6273	0.9501
3037.5735	0.95066
3035.51969	0.95127
3033.46589	0.95192
3031.41209	0.95246
3029.35829	0.95277
3027.30449	0.95295
3025.25068	0.95321
3023.19688	0.95348
3021.14308	0.95355
3019.08928	0.95334
3017.03547	0.95287
3014.98167	0.95262
3012.92787	0.95281
3010.87407	0.95299
3008.82027	0.95296
3006.76646	0.95249
3004.71266	0.95134
3002.65886	0.94984
3000.60506	0.94811
2998.55125	0.94575
2996.49745	0.94253
2994.44365	0.93864
2992.38985	0.93421
2990.33605	0.92897
2988.28224	0.92283
2986.22844	0.91679
2984.17464	0.91245
2982.12084	0.9106
2980.06703	0.91103
2978.01323	0.91305
2975.95943	0.91469
2973.90563	0.91311
2971.85183	0.90712
2969.79802	0.89712
2967.74422	0.88442
2965.69042	0.87167
2963.63662	0.86157
2961.58281	0.855
2959.52901	0.85172
2957.47521	0.85086
2955.42141	0.85134
2953.36761	0.85297
2951.3138	0.85584
2949.26	0.85927
2947.2062	0.8623
2945.1524	0.86436
2943.09859	0.86595
2941.04479	0.86816
2938.99099	0.87147
2936.93719	0.87536
2934.88339	0.87889
2932.82958	0.88157
2930.77578	0.88349
2928.72198	0.88444
2926.66818	0.88374
2924.61437	0.88141
2922.56057	0.87935
2920.50677	0.88024
2918.45297	0.88455
2916.39917	0.89032
2914.34536	0.89572
2912.29156	0.90016
2910.23776	0.90368
2908.18396	0.90636
2906.13015	0.90821
2904.07635	0.909
2902.02255	0.90842
2899.96875	0.90652
2897.91494	0.90363
2895.86114	0.90059
2893.80734	0.89819
2891.75354	0.89644
2889.69974	0.89468
2887.64593	0.8922
2885.59213	0.88882
2883.53833	0.88477
2881.48453	0.88062
2879.43072	0.87709
2877.37692	0.87469
2875.32312	0.87356
2873.26932	0.87367
2871.21552	0.87537
2869.16171	0.87927
2867.10791	0.88512
2865.05411	0.8918
2863.00031	0.89818
2860.9465	0.90347
2858.8927	0.90753
2856.8389	0.91057
2854.7851	0.9128
2852.7313	0.91459
2850.67749	0.91622
2848.62369	0.91759
2846.56989	0.91869
2844.51609	0.92
2842.46228	0.92176
2840.40848	0.92371
2838.35468	0.92576
2836.30088	0.9279
2834.24708	0.93006
2832.19327	0.93213
2830.13947	0.93403
2828.08567	0.936
2826.03187	0.93828
2823.97806	0.94053
2821.92426	0.94232
2819.87046	0.94393
2817.81666	0.94566
2815.76286	0.94733
2813.70905	0.94863
2811.65525	0.94979
2809.60145	0.95127
2807.54765	0.95298
2805.49384	0.95442
2803.44004	0.9553
2801.38624	0.95601
2799.33244	0.95701
2797.27864	0.95792
2795.22483	0.95858
2793.17103	0.95929
2791.11723	0.95997
2789.06343	0.96064
2787.00962	0.9614
2784.95582	0.96202
2782.90202	0.96248
2780.84822	0.96305
2778.79442	0.96365
2776.74061	0.96413
2774.68681	0.96451
2772.63301	0.96492
2770.57921	0.9653
2768.5254	0.9656
2766.4716	0.96593
2764.4178	0.96624
2762.364	0.96648
2760.3102	0.96685
2758.25639	0.9672
2756.20259	0.96737
2754.14879	0.96748
2752.09499	0.96747
2750.04118	0.96736
2747.98738	0.96716
2745.93358	0.9667
2743.87978	0.966
2741.82598	0.96547
2739.77217	0.96528
2737.71837	0.96542
2735.66457	0.96582
2733.61077	0.96608
2731.55696	0.9662
2729.50316	0.9665
2727.44936	0.96687
2725.39556	0.96708
2723.34176	0.96698
2721.28795	0.96676
2719.23415	0.96662
2717.18035	0.96668
2715.12655	0.96715
2713.07274	0.96781
2711.01894	0.96821
2708.96514	0.96854
2706.91134	0.96897
2704.85754	0.96928
2702.80373	0.96944
2700.74993	0.96974
2698.69613	0.97022
2696.64233	0.97059
2694.58852	0.97082
2692.53472	0.97109
2690.48092	0.9713
2688.42712	0.97142
2686.37332	0.97156
2684.31951	0.97161
2682.26571	0.97157
2680.21191	0.97163
2678.15811	0.97174
2676.1043	0.97166
2674.0505	0.9716
2671.9967	0.97187
2669.9429	0.97225
2667.8891	0.97237
2665.83529	0.9723
2663.78149	0.97218
2661.72769	0.972
2659.67389	0.97185
2657.62008	0.97184
2655.56628	0.97203
2653.51248	0.97249
2651.45868	0.97281
2649.40488	0.97268
2647.35107	0.97262
2645.29727	0.97284
2643.24347	0.9732
2641.18967	0.97359
2639.13586	0.97368
2637.08206	0.97355
2635.02826	0.97363
2632.97446	0.97383
2630.92066	0.97394
2628.86685	0.97408
2626.81305	0.97445
2624.75925	0.97505
2622.70545	0.9756
2620.65164	0.97612
2618.59784	0.97678
2616.54404	0.97727
2614.49024	0.97752
2612.43644	0.97789
2610.38263	0.97833
2608.32883	0.97875
2606.27503	0.97918
2604.22123	0.97941
2602.16742	0.9794
2600.11362	0.97931
2598.05982	0.97938
2596.00602	0.97965
2593.95222	0.97989
2591.89841	0.97987
2589.84461	0.97976
2587.79081	0.97998
2585.73701	0.98033
2583.6832	0.98023
2581.6294	0.97965
2579.5756	0.9793
2577.5218	0.97926
2575.468	0.97919
2573.41419	0.97929
2571.36039	0.97948
2569.30659	0.97969
2567.25279	0.97989
2565.19898	0.97988
2563.14518	0.97962
2561.09138	0.97909
2559.03758	0.97865
2556.98377	0.97845
2554.92997	0.97806
2552.87617	0.97765
2550.82237	0.97776
2548.76857	0.97814
2546.71476	0.97834
2544.66096	0.97828
2542.60716	0.97813
2540.55336	0.97801
2538.49955	0.97816
2536.44575	0.97866
2534.39195	0.97892
2532.33815	0.9786
2530.28435	0.97821
2528.23054	0.97835
2526.17674	0.97884
2524.12294	0.97908
2522.06914	0.97926
