Numero de onda	Policloruro_de_vinilo.dpt
3316.8906	0.96885
3314.8368	0.96968
3312.783	0.97047
3310.72919	0.97057
3308.67539	0.97004
3306.62159	0.96934
3304.56779	0.96905
3302.51398	0.96942
3300.46018	0.96989
3298.40638	0.97014
3296.35258	0.97014
3294.29878	0.96982
3292.24497	0.96955
3290.19117	0.96926
3288.13737	0.96878
3286.08357	0.96876
3284.02976	0.96936
3281.97596	0.96977
3279.92216	0.96978
3277.86836	0.9699
3275.81456	0.97004
3273.76075	0.97004
3271.70695	0.97036
3269.65315	0.97083
3267.59935	0.97062
3265.54554	0.97016
3263.49174	0.9703
3261.43794	0.97059
3259.38414	0.97058
3257.33034	0.97053
3255.27653	0.9704
3253.22273	0.97011
3251.16893	0.96982
3249.11513	0.96959
3247.06132	0.96947
3245.00752	0.96932
3242.95372	0.96935
3240.89992	0.96962
3238.84611	0.96973
3236.79231	0.96984
3234.73851	0.96994
3232.68471	0.96974
3230.63091	0.9695
3228.5771	0.96952
3226.5233	0.9696
3224.4695	0.96967
3222.4157	0.96979
3220.36189	0.96997
3218.30809	0.97021
3216.25429	0.97039
3214.20049	0.97055
3212.14669	0.97062
3210.09288	0.97038
3208.03908	0.97037
3205.98528	0.97097
3203.93148	0.97128
3201.87767	0.97074
3199.82387	0.96987
3197.77007	0.96939
3195.71627	0.96957
3193.66247	0.97009
3191.60866	0.97044
3189.55486	0.97009
3187.50106	0.96941
3185.44726	0.96921
3183.39345	0.96955
3181.33965	0.97006
3179.28585	0.97041
3177.23205	0.97058
3175.17825	0.97077
3173.12444	0.97079
3171.07064	0.97054
3169.01684	0.97056
3166.96304	0.97092
3164.90923	0.97095
3162.85543	0.97037
3160.80163	0.96973
3158.74783	0.96974
3156.69403	0.97013
3154.64022	0.97036
3152.58642	0.97056
3150.53262	0.97055
3148.47882	0.9702
3146.42501	0.96998
3144.37121	0.97006
3142.31741	0.97025
3140.26361	0.97027
3138.20981	0.97007
3136.156	0.96997
3134.1022	0.96988
3132.0484	0.96963
3129.9946	0.96972
3127.94079	0.97031
3125.88699	0.97075
3123.83319	0.97094
3121.77939	0.97122
3119.72559	0.97125
3117.67178	0.97067
3115.61798	0.97015
3113.56418	0.97024
3111.51038	0.97038
3109.45657	0.9703
3107.40277	0.97031
3105.34897	0.9702
3103.29517	0.96974
3101.24137	0.96938
3099.18756	0.96968
3097.13376	0.9704
3095.07996	0.97067
3093.02616	0.97043
3090.97235	0.97037
3088.91855	0.97059
3086.86475	0.97056
3084.81095	0.97033
3082.75715	0.97068
3080.70334	0.9713
3078.64954	0.97129
3076.59574	0.97093
3074.54194	0.97061
3072.48813	0.97027
3070.43433	0.97004
3068.38053	0.97021
3066.32673	0.97068
3064.27293	0.97081
3062.21912	0.97066
3060.16532	0.97094
3058.11152	0.97138
3056.05772	0.97112
3054.00391	0.97052
3051.95011	0.97034
3049.89631	0.97049
3047.84251	0.97089
3045.78871	0.97129
3043.7349	0.97125
3041.6811	0.97108
3039.6273	0.97105
3037.5735	0.97092
3035.51969	0.97047
3033.46589	0.97002
3031.41209	0.97011
3029.35829	0.97048
3027.30449	0.9705
3025.25068	0.97037
3023.19688	0.97033
3021.14308	0.9702
3019.08928	0.97022
3017.03547	0.97039
3014.98167	0.97025
3012.92787	0.97003
3010.87407	0.97025
3008.82027	0.97065
3006.76646	0.97067
3004.71266	0.97043
3002.65886	0.97029
3000.60506	0.9703
2998.55125	0.97013
2996.49745	0.9697
2994.44365	0.96931
2992.38985	0.96885
2990.33605	0.96817
2988.28224	0.96754
2986.22844	0.96703
2984.17464	0.96633
2982.12084	0.96495
2980.06703	0.9632
2978.01323	0.96188
2975.95943	0.96084
2973.90563	0.95992
2971.85183	0.95944
2969.79802	0.95921
2967.74422	0.95896
2965.69042	0.95883
2963.63662	0.95874
2961.58281	0.95888
2959.52901	0.95955
2957.47521	0.96037
2955.42141	0.96118
2953.36761	0.96176
2951.3138	0.96165
2949.26	0.9612
2947.2062	0.96088
2945.1524	0.96078
2943.09859	0.96058
2941.04479	0.95972
2938.99099	0.95859
2936.93719	0.95799
2934.88339	0.95787
2932.82958	0.95789
2930.77578	0.95765
2928.72198	0.95709
2926.66818	0.95688
2924.61437	0.95676
2922.56057	0.95588
2920.50677	0.95435
2918.45297	0.9526
2916.39917	0.95064
2914.34536	0.94889
2912.29156	0.94775
2910.23776	0.94697
2908.18396	0.94661
2906.13015	0.94707
2904.07635	0.94851
2902.02255	0.9508
2899.96875	0.95344
2897.91494	0.9562
2895.86114	0.95893
2893.80734	0.9612
2891.75354	0.96259
2889.69974	0.96318
2887.64593	0.96372
2885.59213	0.96444
2883.53833	0.9652
2881.48453	0.96567
2879.43072	0.96564
2877.37692	0.96582
2875.32312	0.96643
2873.26932	0.96684
2871.21552	0.96679
2869.16171	0.96644
2867.10791	0.96625
2865.05411	0.96655
2863.00031	0.96696
2860.9465	0.96694
2858.8927	0.96677
2856.8389	0.96669
2854.7851	0.96637
2852.7313	0.96604
2850.67749	0.9659
2848.62369	0.96563
2846.56989	0.96527
2844.51609	0.96517
2842.46228	0.96536
2840.40848	0.96578
2838.35468	0.96616
2836.30088	0.9662
2834.24708	0.96621
2832.19327	0.96631
2830.13947	0.96623
2828.08567	0.96623
2826.03187	0.9666
