Numero de onda	polipropileno.dpt
3470.92577	0.99662
3468.87196	0.99746
3466.81816	0.99794
3464.76436	0.99765
3462.71056	0.99695
3460.65676	0.99628
3458.60295	0.99623
3456.54915	0.99703
3454.49535	0.99766
3452.44155	0.99748
3450.38774	0.99724
3448.33394	0.99747
3446.28014	0.99759
3444.22634	0.99707
3442.17254	0.99634
3440.11873	0.99601
3438.06493	0.99602
3436.01113	0.99573
3433.95733	0.99532
3431.90352	0.9954
3429.84972	0.99545
3427.79592	0.99534
3425.74212	0.99559
3423.68832	0.99568
3421.63451	0.99571
3419.58071	0.99635
3417.52691	0.99645
3415.47311	0.99573
3413.4193	0.99578
3411.3655	0.99655
3409.3117	0.99663
3407.2579	0.99631
3405.2041	0.9965
3403.15029	0.99696
3401.09649	0.99701
3399.04269	0.99662
3396.98889	0.99627
3394.93508	0.996
3392.88128	0.99589
3390.82748	0.99607
3388.77368	0.99612
3386.71988	0.99613
3384.66607	0.9963
3382.61227	0.99609
3380.55847	0.99549
3378.50467	0.99512
3376.45086	0.99518
3374.39706	0.9955
3372.34326	0.99584
3370.28946	0.99597
3368.23566	0.99591
3366.18185	0.99592
3364.12805	0.99631
3362.07425	0.99682
3360.02045	0.9969
3357.96664	0.9966
3355.91284	0.99634
3353.85904	0.99627
3351.80524	0.99621
3349.75144	0.99614
3347.69763	0.99616
3345.64383	0.99602
3343.59003	0.99552
3341.53623	0.99526
3339.48242	0.99551
3337.42862	0.99575
3335.37482	0.99582
3333.32102	0.99596
3331.26722	0.99612
3329.21341	0.99615
3327.15961	0.99611
3325.10581	0.99611
3323.05201	0.99626
3320.9982	0.99618
3318.9444	0.99554
3316.8906	0.99524
3314.8368	0.99564
3312.783	0.99596
3310.72919	0.99588
3308.67539	0.99566
3306.62159	0.99551
3304.56779	0.99519
3302.51398	0.99458
3300.46018	0.99443
3298.40638	0.99482
3296.35258	0.9949
3294.29878	0.99468
3292.24497	0.99482
3290.19117	0.99532
3288.13737	0.99553
3286.08357	0.99535
3284.02976	0.99536
3281.97596	0.99561
3279.92216	0.99556
3277.86836	0.99504
3275.81456	0.99451
3273.76075	0.99443
3271.70695	0.99484
3269.65315	0.99542
3267.59935	0.99572
3265.54554	0.9954
3263.49174	0.99483
3261.43794	0.99463
3259.38414	0.99487
3257.33034	0.99509
3255.27653	0.99506
3253.22273	0.99496
3251.16893	0.99487
3249.11513	0.99481
3247.06132	0.99495
3245.00752	0.9952
3242.95372	0.99505
3240.89992	0.99477
3238.84611	0.99501
3236.79231	0.99554
3234.73851	0.99593
3232.68471	0.99629
3230.63091	0.99659
3228.5771	0.99624
3226.5233	0.9955
3224.4695	0.99521
3222.4157	0.99527
3220.36189	0.99528
3218.30809	0.99523
3216.25429	0.99525
3214.20049	0.99562
3212.14669	0.996
3210.09288	0.99582
3208.03908	0.99528
3205.98528	0.99501
3203.93148	0.99512
3201.87767	0.99522
3199.82387	0.99514
3197.77007	0.99517
3195.71627	0.99546
3193.66247	0.99592
3191.60866	0.99618
3189.55486	0.99615
3187.50106	0.99619
3185.44726	0.99632
3183.39345	0.9964
