Numero de onda	Poliestireno.1.dpt
2103.09348	1.00873
2101.03968	1.00948
2098.98588	1.00968
2096.93208	1.00958
2094.87827	1.00965
2092.82447	1.00974
2090.77067	1.00983
2088.71687	1.01001
2086.66306	1.00962
2084.60926	1.00893
2082.55546	1.0091
2080.50166	1.00968
2078.44786	1.00932
2076.39405	1.00855
2074.34025	1.00875
2072.28645	1.00902
2070.23265	1.00889
2068.17884	1.00958
2066.12504	1.00986
2064.07124	1.00887
2062.01744	1.00822
2059.96364	1.00854
2057.90983	1.00936
2055.85603	1.01028
2053.80223	1.0106
2051.74843	1.00995
2049.69462	1.00907
2047.64082	1.00837
2045.58702	1.00824
2043.53322	1.00933
2041.47942	1.01082
2039.42561	1.01204
2037.37181	1.01271
2035.31801	1.01269
2033.26421	1.01213
2031.2104	1.01116
2029.1566	1.01048
2027.1028	1.01107
2025.049	1.01266
2022.9952	1.01335
2020.94139	1.01259
2018.88759	1.01149
2016.83379	1.01101
2014.77999	1.01097
2012.72618	1.0107
2010.67238	1.01084
2008.61858	1.01142
2006.56478	1.01166
2004.51098	1.01108
2002.45717	1.00948
2000.40337	1.00887
1998.34957	1.0105
1996.29577	1.0122
1994.24196	1.01252
1992.18816	1.01226
1990.13436	1.01185
1988.08056	1.01075
1986.02676	1.00924
1983.97295	1.00814
1981.91915	1.00739
1979.86535	1.0073
1977.81155	1.00875
1975.75774	1.01081
1973.70394	1.01215
1971.65014	1.01298
1969.59634	1.01362
1967.54254	1.01366
1965.48873	1.01256
1963.43493	1.01086
1961.38113	1.00985
1959.32733	1.01027
1957.27352	1.01129
1955.21972	1.0113
1953.16592	1.01042
1951.11212	1.00986
1949.05832	1.00974
1947.00451	1.00962
1944.95071	1.00998
1942.89691	1.01067
1940.84311	1.01032
1938.7893	1.00927
1936.7355	1.00886
1934.6817	1.00917
1932.6279	1.0096
1930.5741	1.01016
1928.52029	1.01062
1926.46649	1.01058
1924.41269	1.01039
1922.35889	1.01032
1920.30508	1.01073
1918.25128	1.01142
1916.19748	1.01098
1914.14368	1.00981
1912.08988	1.00961
1910.03607	1.01
1907.98227	1.00969
1905.92847	1.00914
1903.87467	1.00929
1901.82086	1.00974
1899.76706	1.01005
1897.71326	1.01041
1895.65946	1.0106
