Numero de onda	Teraftalato de polietileno.dpt
3561.29306	0.99438
3559.23926	0.99381
3557.18546	0.99329
3555.13166	0.99319
3553.07786	0.99344
3551.02405	0.99386
3548.97025	0.99411
3546.91645	0.9941
3544.86265	0.99352
3542.80884	0.99279
3540.75504	0.99305
3538.70124	0.9937
3536.64744	0.99385
3534.59364	0.99347
3532.53983	0.99302
3530.48603	0.99329
3528.43223	0.99401
3526.37843	0.99411
3524.32462	0.99357
3522.27082	0.99319
3520.21702	0.99315
3518.16322	0.99302
3516.10942	0.99287
3514.05561	0.99309
3512.00181	0.99356
3509.94801	0.99377
3507.89421	0.99384
3505.8404	0.99405
3503.7866	0.994
3501.7328	0.99358
3499.679	0.99331
3497.6252	0.99352
3495.57139	0.9939
3493.51759	0.99395
3491.46379	0.99386
3489.40999	0.99408
3487.35618	0.99451
3485.30238	0.9946
3483.24858	0.99426
3481.19478	0.99392
3479.14098	0.99409
3477.08717	0.99463
3475.03337	0.9947
3472.97957	0.9941
3470.92577	0.99359
3468.87196	0.99361
3466.81816	0.994
3464.76436	0.99438
3462.71056	0.99419
3460.65676	0.99339
3458.60295	0.99294
3456.54915	0.99331
3454.49535	0.99387
3452.44155	0.994
3450.38774	0.99357
3448.33394	0.99321
3446.28014	0.993
3444.22634	0.99237
3442.17254	0.99183
3440.11873	0.99205
3438.06493	0.99269
3436.01113	0.99293
3433.95733	0.99247
3431.90352	0.99195
3429.84972	0.99172
3427.79592	0.9914
3425.74212	0.9912
3423.68832	0.99144
3421.63451	0.99174
3419.58071	0.99173
3417.52691	0.99166
3415.47311	0.99179
3413.4193	0.99187
3411.3655	0.99184
3409.3117	0.99212
3407.2579	0.99281
3405.2041	0.99322
3403.15029	0.99279
3401.09649	0.99216
3399.04269	0.99202
3396.98889	0.99215
3394.93508	0.99222
3392.88128	0.99242
3390.82748	0.99282
3388.77368	0.9933
3386.71988	0.99377
3384.66607	0.99415
3382.61227	0.99439
3380.55847	0.99464
3378.50467	0.99485
3376.45086	0.99475
3374.39706	0.99462
3372.34326	0.99493
3370.28946	0.99507
3368.23566	0.99443
3366.18185	0.99375
3364.12805	0.99358
3362.07425	0.99362
3360.02045	0.9937
3357.96664	0.99395
3355.91284	0.99426
3353.85904	0.99395
3351.80524	0.9932
3349.75144	0.99294
3347.69763	0.99367
3345.64383	0.99486
3343.59003	0.99538
3341.53623	0.99496
3339.48242	0.99425
3337.42862	0.99394
3335.37482	0.99415
3333.32102	0.99431
3331.26722	0.99435
3329.21341	0.99462
3327.15961	0.99478
3325.10581	0.99454
3323.05201	0.99421
3320.9982	0.99389
3318.9444	0.99348
3316.8906	0.99316
3314.8368	0.99307
3312.783	0.99325
3310.72919	0.9936
3308.67539	0.99372
3306.62159	0.9936
3304.56779	0.99352
3302.51398	0.99346
3300.46018	0.99332
3298.40638	0.99342
3296.35258	0.99373
3294.29878	0.9936
3292.24497	0.99333
3290.19117	0.99354
3288.13737	0.99376
3286.08357	0.99381
3284.02976	0.99399
3281.97596	0.99393
3279.92216	0.99384
3277.86836	0.99441
3275.81456	0.99514
3273.76075	0.99515
3271.70695	0.99446
3269.65315	0.99392
3267.59935	0.99382
3265.54554	0.9938
3263.49174	0.994
3261.43794	0.9943
3259.38414	0.99441
3257.33034	0.99457
3255.27653	0.99488
3253.22273	0.99522
3251.16893	0.99536
3249.11513	0.99501
3247.06132	0.99444
3245.00752	0.99426
3242.95372	0.99477
3240.89992	0.9955
3238.84611	0.99562
3236.79231	0.99497
3234.73851	0.99417
3232.68471	0.99362
3230.63091	0.99347
3228.5771	0.99382
3226.5233	0.9944
3224.4695	0.99468
3222.4157	0.99447
3220.36189	0.99409
3218.30809	0.99396
3216.25429	0.99426
3214.20049	0.99461
3212.14669	0.99459
3210.09288	0.99459
3208.03908	0.99454
3205.98528	0.99415
3203.93148	0.99378
3201.87767	0.99372
3199.82387	0.99404
