Numero de onda	pet_siama.dpt
3520.21702	0.91564
3518.16322	0.9153
3516.10942	0.91557
3514.05561	0.91594
3512.00181	0.91602
3509.94801	0.91615
3507.89421	0.91625
3505.8404	0.9162
3503.7866	0.91622
3501.7328	0.91631
3499.679	0.91644
3497.6252	0.9165
3495.57139	0.91626
3493.51759	0.916
3491.46379	0.91602
3489.40999	0.91604
3487.35618	0.91593
3485.30238	0.91589
3483.24858	0.91576
3481.19478	0.91559
3479.14098	0.91587
3477.08717	0.91636
3475.03337	0.91631
3472.97957	0.91581
3470.92577	0.91572
3468.87196	0.91603
3466.81816	0.91617
3464.76436	0.9161
3462.71056	0.91587
3460.65676	0.91592
3458.60295	0.91633
3456.54915	0.91636
3454.49535	0.91608
3452.44155	0.91613
3450.38774	0.91628
3448.33394	0.91612
3446.28014	0.91587
3444.22634	0.91584
3442.17254	0.91593
3440.11873	0.91571
3438.06493	0.91507
3436.01113	0.91452
3433.95733	0.91458
3431.90352	0.91496
3429.84972	0.91495
3427.79592	0.9145
3425.74212	0.91431
3423.68832	0.91451
3421.63451	0.91447
3419.58071	0.91438
3417.52691	0.91455
3415.47311	0.91457
3413.4193	0.91455
3411.3655	0.91465
3409.3117	0.91458
3407.2579	0.91454
3405.2041	0.91477
3403.15029	0.91508
3401.09649	0.91524
3399.04269	0.91516
3396.98889	0.91507
3394.93508	0.91514
3392.88128	0.91511
3390.82748	0.91497
3388.77368	0.91495
3386.71988	0.91504
3384.66607	0.91522
3382.61227	0.91534
3380.55847	0.91536
3378.50467	0.91538
3376.45086	0.91531
3374.39706	0.91532
3372.34326	0.91548
3370.28946	0.91537
3368.23566	0.91516
3366.18185	0.9152
3364.12805	0.91525
3362.07425	0.91529
3360.02045	0.91534
3357.96664	0.91515
3355.91284	0.9149
3353.85904	0.91505
3351.80524	0.91546
3349.75144	0.9156
3347.69763	0.91554
3345.64383	0.91541
3343.59003	0.91518
3341.53623	0.915
3339.48242	0.91501
3337.42862	0.91511
3335.37482	0.91512
3333.32102	0.91509
3331.26722	0.91514
3329.21341	0.91517
3327.15961	0.91502
3325.10581	0.91475
3323.05201	0.91469
3320.9982	0.91496
3318.9444	0.91513
3316.8906	0.9149
3314.8368	0.91466
3312.783	0.91482
3310.72919	0.91511
3308.67539	0.91495
3306.62159	0.91462
3304.56779	0.91474
3302.51398	0.91512
3300.46018	0.91511
3298.40638	0.91462
3296.35258	0.9142
3294.29878	0.91412
3292.24497	0.91412
3290.19117	0.91429
3288.13737	0.91468
3286.08357	0.91498
3284.02976	0.91513
3281.97596	0.91512
3279.92216	0.91517
3277.86836	0.91536
3275.81456	0.91519
3273.76075	0.91486
3271.70695	0.91486
3269.65315	0.91495
3267.59935	0.91487
3265.54554	0.91485
3263.49174	0.91491
3261.43794	0.9149
3259.38414	0.91493
3257.33034	0.91489
3255.27653	0.91462
3253.22273	0.91439
3251.16893	0.91449
3249.11513	0.91478
3247.06132	0.91503
3245.00752	0.91516
3242.95372	0.91513
3240.89992	0.91506
3238.84611	0.91511
3236.79231	0.91514
3234.73851	0.91501
3232.68471	0.91489
3230.63091	0.91492
3228.5771	0.9149
3226.5233	0.9148
3224.4695	0.91478
3222.4157	0.91468
3220.36189	0.91449
3218.30809	0.91462
3216.25429	0.91493
3214.20049	0.91488
3212.14669	0.91459
3210.09288	0.91443
3208.03908	0.91445
3205.98528	0.91459
3203.93148	0.91469
3201.87767	0.91468
3199.82387	0.91457
3197.77007	0.91449
3195.71627	0.91458
3193.66247	0.91463
3191.60866	0.91466
3189.55486	0.9148
3187.50106	0.9148
3185.44726	0.91476
3183.39345	0.91486
3181.33965	0.91494
3179.28585	0.91498
3177.23205	0.91505
3175.17825	0.91492
3173.12444	0.91468
3171.07064	0.91471
3169.01684	0.91495
3166.96304	0.91509
3164.90923	0.91506
3162.85543	0.91488
3160.80163	0.91462
3158.74783	0.91446
3156.69403	0.9146
3154.64022	0.91475
3152.58642	0.91452
3150.53262	0.91416
3148.47882	0.91405
3146.42501	0.91421
3144.37121	0.91429
3142.31741	0.91423
3140.26361	0.91432
3138.20981	0.91452
3136.156	0.91463
3134.1022	0.91451
3132.0484	0.9142
3129.9946	0.91406
3127.94079	0.91413
3125.88699	0.91426
3123.83319	0.91438
3121.77939	0.91435
3119.72559	0.91435
3117.67178	0.91434
3115.61798	0.91412
3113.56418	0.91389
3111.51038	0.9138
3109.45657	0.91384
3107.40277	0.91389
3105.34897	0.91372
3103.29517	0.9133
3101.24137	0.91311
3099.18756	0.91311
3097.13376	0.91305
3095.07996	0.91312
3093.02616	0.9133
3090.97235	0.91321
3088.91855	0.91286
3086.86475	0.91251
3084.81095	0.91235
3082.75715	0.91239
3080.70334	0.91244
3078.64954	0.91238
3076.59574	0.91228
3074.54194	0.91229
3072.48813	0.91247
3070.43433	0.91265
3068.38053	0.91256
3066.32673	0.91226
3064.27293	0.91214
3062.21912	0.91238
3060.16532	0.91253
3058.11152	0.91221
3056.05772	0.9118
3054.00391	0.9117
3051.95011	0.91174
3049.89631	0.91173
3047.84251	0.91185
3045.78871	0.91229
3043.7349	0.91288
3041.6811	0.91344
3039.6273	0.91391
3037.5735	0.91404
3035.51969	0.91385
3033.46589	0.9138
3031.41209	0.91405
3029.35829	0.91431
3027.30449	0.91436
3025.25068	0.91424
3023.19688	0.91404
3021.14308	0.91389
3019.08928	0.91384
3017.03547	0.91364
3014.98167	0.91322
3012.92787	0.91271
3010.87407	0.91218
3008.82027	0.91167
3006.76646	0.91133
3004.71266	0.91119
3002.65886	0.91105
3000.60506	0.91078
2998.55125	0.91028
2996.49745	0.90958
2994.44365	0.90883
2992.38985	0.908
2990.33605	0.90714
2988.28224	0.90636
2986.22844	0.90565
2984.17464	0.90485
2982.12084	0.9037
2980.06703	0.90225
2978.01323	0.90089
2975.95943	0.89963
2973.90563	0.89817
2971.85183	0.89644
2969.79802	0.89447
2967.74422	0.89233
2965.69042	0.89037
2963.63662	0.88903
2961.58281	0.8883
2959.52901	0.88807
2957.47521	0.8883
2955.42141	0.88887
2953.36761	0.88958
2951.3138	0.8903
2949.26	0.8911
2947.2062	0.89214
2945.1524	0.89323
2943.09859	0.89406
2941.04479	0.89465
2938.99099	0.89517
2936.93719	0.89525
2934.88339	0.89477
2932.82958	0.89423
2930.77578	0.89376
2928.72198	0.89306
2926.66818	0.89198
2924.61437	0.89071
2922.56057	0.88955
2920.50677	0.88873
2918.45297	0.8887
2916.39917	0.88967
2914.34536	0.8912
2912.29156	0.89272
2910.23776	0.89386
2908.18396	0.89468
2906.13015	0.8953
2904.07635	0.89557
2902.02255	0.89555
2899.96875	0.8955
2897.91494	0.89563
2895.86114	0.89592
2893.80734	0.89633
2891.75354	0.89694
2889.69974	0.89786
2887.64593	0.89883
2885.59213	0.89948
2883.53833	0.89976
2881.48453	0.89981
2879.43072	0.89976
