Numero de onda	POLIETILENO.3.dpt
2803.44004	0.94614
2801.38624	0.94847
2799.33244	0.95081
2797.27864	0.95304
2795.22483	0.95523
2793.17103	0.95727
2791.11723	0.9592
2789.06343	0.96099
2787.00962	0.96252
2784.95582	0.96384
2782.90202	0.96507
2780.84822	0.96621
2778.79442	0.96722
2776.74061	0.96818
2774.68681	0.96916
2772.63301	0.97013
2770.57921	0.97096
2768.5254	0.9716
2766.4716	0.97208
2764.4178	0.97256
2762.364	0.97317
2760.3102	0.97376
2758.25639	0.97412
2756.20259	0.97424
2754.14879	0.97424
2752.09499	0.97427
2750.04118	0.97446
2747.98738	0.97484
2745.93358	0.97513
2743.87978	0.97512
2741.82598	0.97502
2739.77217	0.97515
2737.71837	0.97549
2735.66457	0.97577
2733.61077	0.97585
2731.55696	0.97585
2729.50316	0.976
2727.44936	0.97638
2725.39556	0.9767
2723.34176	0.9768
2721.28795	0.97691
2719.23415	0.97723
2717.18035	0.97762
2715.12655	0.97797
2713.07274	0.97817
2711.01894	0.97821
2708.96514	0.97819
2706.91134	0.97824
2704.85754	0.97847
2702.80373	0.97881
2700.74993	0.97896
2698.69613	0.97887
2696.64233	0.97881
2694.58852	0.97897
2692.53472	0.97924
2690.48092	0.97926
2688.42712	0.97913
2686.37332	0.97909
2684.31951	0.97903
2682.26571	0.97892
2680.21191	0.97882
2678.15811	0.97873
2676.1043	0.97859
2674.0505	0.97838
2671.9967	0.97807
2669.9429	0.97765
2667.8891	0.97725
2665.83529	0.97702
2663.78149	0.97698
2661.72769	0.97715
2659.67389	0.97738
2657.62008	0.97754
2655.56628	0.97772
2653.51248	0.97778
2651.45868	0.97779
2649.40488	0.97794
2647.35107	0.97801
2645.29727	0.97784
2643.24347	0.97765
2641.18967	0.97747
2639.13586	0.97738
2637.08206	0.97747
2635.02826	0.97767
2632.97446	0.97804
2630.92066	0.9784
2628.86685	0.97873
2626.81305	0.97927
2624.75925	0.97995
2622.70545	0.98048
2620.65164	0.98071
2618.59784	0.98092
2616.54404	0.98146
2614.49024	0.98209
2612.43644	0.98239
2610.38263	0.98247
2608.32883	0.9826
2606.27503	0.98292
2604.22123	0.98326
2602.16742	0.98346
2600.11362	0.98373
2598.05982	0.98413
2596.00602	0.98439
2593.95222	0.98451
2591.89841	0.98475
2589.84461	0.98501
2587.79081	0.98515
2585.73701	0.9856
2583.6832	0.98634
2581.6294	0.9867
2579.5756	0.9865
2577.5218	0.98618
2575.468	0.98607
2573.41419	0.98622
2571.36039	0.98657
2569.30659	0.98685
2567.25279	0.98684
2565.19898	0.98697
2563.14518	0.98743
2561.09138	0.98787
2559.03758	0.98776
2556.98377	0.98727
2554.92997	0.9871
2552.87617	0.98718
2550.82237	0.98715
2548.76857	0.98712
2546.71476	0.98728
2544.66096	0.98769
2542.60716	0.98807
2540.55336	0.98807
2538.49955	0.98809
2536.44575	0.98839
2534.39195	0.98846
2532.33815	0.98827
2530.28435	0.98819
2528.23054	0.98825
2526.17674	0.98839
2524.12294	0.98869
2522.06914	0.98885
2520.01533	0.98869
2517.96153	0.98833
2515.90773	0.98832
2513.85393	0.9889
2511.80013	0.98941
2509.74632	0.98968
