Numero de onda	poliettilrn_succinato.dpt
2916.39917	0.96394
2914.34536	0.96549
2912.29156	0.96644
2910.23776	0.96701
2908.18396	0.96751
2906.13015	0.96805
2904.07635	0.96847
2902.02255	0.96845
2899.96875	0.96807
2897.91494	0.96752
2895.86114	0.9669
2893.80734	0.96656
2891.75354	0.9664
2889.69974	0.96598
2887.64593	0.9654
2885.59213	0.96518
2883.53833	0.96566
2881.48453	0.96661
2879.43072	0.96785
2877.37692	0.96939
2875.32312	0.97098
2873.26932	0.97244
2871.21552	0.97369
2869.16171	0.97433
2867.10791	0.97441
2865.05411	0.97457
2863.00031	0.97511
2860.9465	0.97576
2858.8927	0.97624
2856.8389	0.97665
2854.7851	0.97704
2852.7313	0.9776
2850.67749	0.9784
2848.62369	0.97918
2846.56989	0.97979
2844.51609	0.98002
2842.46228	0.97983
2840.40848	0.97967
2838.35468	0.97977
2836.30088	0.98015
2834.24708	0.98078
2832.19327	0.98115
2830.13947	0.981
2828.08567	0.98089
2826.03187	0.98111
2823.97806	0.98161
2821.92426	0.98187
2819.87046	0.98131
2817.81666	0.98066
2815.76286	0.98064
2813.70905	0.98071
2811.65525	0.9807
2809.60145	0.98094
2807.54765	0.98126
2805.49384	0.98149
2803.44004	0.9817
2801.38624	0.98176
2799.33244	0.98177
2797.27864	0.982
2795.22483	0.98241
2793.17103	0.9827
2791.11723	0.98264
2789.06343	0.98239
2787.00962	0.98229
2784.95582	0.98233
2782.90202	0.9825
2780.84822	0.98307
2778.79442	0.98376
2776.74061	0.98377
2774.68681	0.98334
2772.63301	0.98301
2770.57921	0.98294
2768.5254	0.98351
2766.4716	0.98431
2764.4178	0.98456
2762.364	0.98436
2760.3102	0.98408
2758.25639	0.98398
2756.20259	0.98426
2754.14879	0.98468
2752.09499	0.98477
2750.04118	0.98448
2747.98738	0.98416
2745.93358	0.98417
2743.87978	0.98442
2741.82598	0.9846
2739.77217	0.98458
2737.71837	0.98447
2735.66457	0.98442
2733.61077	0.98438
2731.55696	0.98417
2729.50316	0.98391
2727.44936	0.98402
2725.39556	0.98421
2723.34176	0.98381
2721.28795	0.98328
2719.23415	0.98337
2717.18035	0.98395
2715.12655	0.98434
2713.07274	0.98423
2711.01894	0.984
2708.96514	0.98384
2706.91134	0.98366
2704.85754	0.98366
2702.80373	0.98383
2700.74993	0.98404
2698.69613	0.98431
2696.64233	0.9844
2694.58852	0.98406
2692.53472	0.9838
2690.48092	0.98429
2688.42712	0.98512
2686.37332	0.98551
2684.31951	0.98555
2682.26571	0.98545
2680.21191	0.9853
2678.15811	0.98532
2676.1043	0.98536
2674.0505	0.98537
2671.9967	0.98548
2669.9429	0.98548
2667.8891	0.98516
2665.83529	0.98473
2663.78149	0.98451
2661.72769	0.98463
2659.67389	0.98502
2657.62008	0.98547
2655.56628	0.98554
2653.51248	0.98498
2651.45868	0.98443
2649.40488	0.98435
2647.35107	0.98452
2645.29727	0.9848
2643.24347	0.98491
2641.18967	0.98462
2639.13586	0.98435
2637.08206	0.98447
2635.02826	0.98482
2632.97446	0.98519
2630.92066	0.98514
2628.86685	0.98454
2626.81305	0.98424
2624.75925	0.98449
2622.70545	0.98478
2620.65164	0.98519
2618.59784	0.98546
2616.54404	0.98502
2614.49024	0.98419
2612.43644	0.98365
2610.38263	0.98343
2608.32883	0.98337
2606.27503	0.9838
2604.22123	0.98457
2602.16742	0.9851
2600.11362	0.98551
2598.05982	0.98554
2596.00602	0.98493
2593.95222	0.98478
2591.89841	0.98563
2589.84461	0.98665
2587.79081	0.98669
2585.73701	0.98551
2583.6832	0.98463
2581.6294	0.98496
2579.5756	0.98549
2577.5218	0.98557
2575.468	0.98522
2573.41419	0.98454
2571.36039	0.98387
2569.30659	0.98381
2567.25279	0.98476
2565.19898	0.98611
2563.14518	0.98651
2561.09138	0.98553
2559.03758	0.98421
2556.98377	0.98363
2554.92997	0.98408
2552.87617	0.98516
2550.82237	0.98604
2548.76857	0.98639
2546.71476	0.98627
2544.66096	0.98576
2542.60716	0.98551
2540.55336	0.98588
2538.49955	0.98647
2536.44575	0.98671
2534.39195	0.98637
2532.33815	0.9858
2530.28435	0.98549
2528.23054	0.98579
2526.17674	0.98654
2524.12294	0.98712
2522.06914	0.98723
2520.01533	0.98739
2517.96153	0.9877
2515.90773	0.98734
2513.85393	0.98675
2511.80013	0.98693
2509.74632	0.9873
2507.69252	0.98711
2505.63872	0.98705
2503.58492	0.9876
2501.53111	0.98788
2499.47731	0.98758
2497.42351	0.9871
2495.36971	0.98646
2493.31591	0.98593
2491.2621	0.98581
2489.2083	0.98568
2487.1545	0.98581
2485.1007	0.98667
2483.04689	0.98772
2480.99309	0.98851
2478.93929	0.98835
2476.88549	0.98695
2474.83169	0.98555
2472.77788	0.98502
2470.72408	0.98523
2468.67028	0.98586
2466.61648	0.98608
2464.56267	0.98566
2462.50887	0.98565
2460.45507	0.98608
2458.40127	0.98646
2456.34747	0.9869
2454.29366	0.98694
2452.23986	0.98605
2450.18606	0.9848
2448.13226	0.98451
2446.07845	0.98536
2444.02465	0.98625
2441.97085	0.98668
2439.91705	0.9868
2437.86325	0.98639
2435.80944	0.98558
2433.75564	0.9853
2431.70184	0.98588
2429.64804	0.98654
2427.59423	0.98677
2425.54043	0.9865
2423.48663	0.98599
2421.43283	0.9855
2419.37903	0.98503
2417.32522	0.98504
2415.27142	0.98587
2413.21762	0.98617
2411.16382	0.98531
2409.11001	0.98457
2407.05621	0.98429
2405.00241	0.9843
2402.94861	0.98466
2400.89481	0.98496
2398.841	0.98491
2396.7872	0.98468
2394.7334	0.98451
2392.6796	0.98455
2390.62579	0.98481
2388.57199	0.98515
2386.51819	0.9852
2384.46439	0.98436
2382.41059	0.98309
2380.35678	0.98314
2378.30298	0.98429
2376.24918	0.98503
2374.19538	0.98606
2372.14157	0.98733
2370.08777	0.98668
2368.03397	0.985
2365.98017	0.98542
2363.92637	0.98695
2361.87256	0.98682
2359.81876	0.98635
2357.76496	0.98656
2355.71116	0.98637
2353.65735	0.98637
2351.60355	0.98646
2349.54975	0.98628
2347.49595	0.98692
2345.44215	0.9884
2343.38834	0.9883
2341.33454	0.98643
2339.28074	0.98588
2337.22694	0.98643
2335.17313	0.98651
2333.11933	0.98691
2331.06553	0.98745
2329.01173	0.98685
2326.95793	0.98555
2324.90412	0.98489
2322.85032	0.98561
2320.79652	0.98734
2318.74272	0.98842
2316.68891	0.98775
2314.63511	0.98692
2312.58131	0.98745
2310.52751	0.98831
2308.47371	0.98857
2306.4199	0.98822
2304.3661	0.98748
2302.3123	0.98715
2300.2585	0.98748
2298.20469	0.98797
2296.15089	0.98828
2294.09709	0.98846
2292.04329	0.98856
2289.98949	0.98831
2287.93568	0.98764
2285.88188	0.98688
2283.82808	0.98681
2281.77428	0.98752
2279.72047	0.98771
2277.66667	0.98728
2275.61287	0.98676
2273.55907	0.98589
2271.50527	0.98573
2269.45146	0.98695
2267.39766	0.98854
2265.34386	0.98967
2263.29006	0.99022
2261.23625	0.99016
2259.18245	0.98939
2257.12865	0.98863
2255.07485	0.98886
2253.02105	0.99009
2250.96724	0.9912
2248.91344	0.99095
2246.85964	0.98975
2244.80584	0.98886
2242.75203	0.98921
2240.69823	0.99065
2238.64443	0.99176
2236.59063	0.99178
2234.53683	0.99155
2232.48302	0.9917
2230.42922	0.99132
2228.37542	0.98931
2226.32162	0.98712
2224.26781	0.98709
2222.21401	0.98817
2220.16021	0.98769
2218.10641	0.98567
2216.0526	0.98425
2213.9988	0.98541
2211.945	0.98845
2209.8912	0.98951
2207.8374	0.98725
2205.78359	0.98616
2203.72979	0.98759
2201.67599	0.9884
2199.62219	0.98914
2197.56838	0.99021
2195.51458	0.98989
2193.46078	0.98835
2191.40698	0.98703
2189.35318	0.98759
2187.29937	0.98886
2185.24557	0.98872
2183.19177	0.98875
2181.13797	0.99049
2179.08416	0.9924
2177.03036	0.99309
2174.97656	0.99269
2172.92276	0.99254
2170.86896	0.99383
2168.81515	0.99405
2166.76135	0.99059
2164.70755	0.98707
2162.65375	0.98721
2160.59994	0.98896
2158.54614	0.99304
2156.49234	0.99944
2154.43854	1.00066
2152.38474	0.99619
2150.33093	0.99186
2148.27713	0.99103
2146.22333	0.99226
2144.16953	0.9926
2142.11572	0.9923
2140.06192	0.99201
2138.00812	0.99166
2135.95432	0.99129
2133.90052	0.99161
2131.84671	0.99247
2129.79291	0.99233
2127.73911	0.99119
2125.68531	0.99018
2123.6315	0.99038
2121.5777	0.99109
2119.5239	0.99073
2117.4701	0.98991
2115.4163	0.98966
2113.36249	0.98957
2111.30869	0.98867
2109.25489	0.98741
2107.20109	0.98708
2105.14728	0.98797
2103.09348	0.98953
2101.03968	0.9902
2098.98588	0.98938
2096.93208	0.98772
2094.87827	0.98674
2092.82447	0.9881
2090.77067	0.98987
2088.71687	0.98984
