Numero de onda	poliestireno.dpt
3419.59377	1.00022
3417.53996	0.99977
3415.48615	0.9992
3413.43234	0.99941
3411.37853	0.99999
3409.32472	1.00014
3407.27091	0.9998
3405.2171	0.99923
3403.16329	0.99912
3401.10948	0.99985
3399.05567	1.00035
3397.00186	1.00019
3394.94805	1.0
3392.89424	0.99968
3390.84042	0.99936
3388.78661	0.99936
3386.7328	0.99949
3384.67899	0.99974
3382.62518	0.99989
3380.57137	0.99955
3378.51756	0.99914
3376.46375	0.99919
3374.40994	0.9994
3372.35613	0.99958
3370.30232	0.99965
3368.24851	0.99957
3366.1947	0.99985
3364.14089	1.00049
3362.08708	1.00072
3360.03327	1.00034
3357.97946	0.99993
3355.92565	0.99969
3353.87184	0.99945
3351.81803	0.99954
3349.76422	0.99994
3347.71041	1.00012
3345.6566	0.99988
3343.60279	0.99927
3341.54898	0.99884
3339.49517	0.99917
3337.44136	0.99976
3335.38755	0.9997
3333.33374	0.99932
3331.27993	0.9994
3329.22612	0.99977
3327.17231	0.99966
3325.1185	0.99951
3323.06469	0.99998
3321.01088	1.00022
3318.95707	0.99983
3316.90326	0.99917
3314.84945	0.99872
3312.79564	0.99882
3310.74183	0.99901
3308.68802	0.99904
3306.63421	0.99921
3304.5804	0.99949
3302.52659	0.99942
3300.47278	0.99912
3298.41897	0.99915
3296.36516	0.99943
3294.31135	0.99944
3292.25754	0.99919
3290.20373	0.99918
3288.14992	0.99935
3286.09611	0.99956
3284.0423	0.99991
3281.98849	1.00001
3279.93468	0.99952
3277.88087	0.99904
3275.82706	0.99901
3273.77325	0.99924
3271.71944	0.99955
3269.66563	0.99977
3267.61182	0.99962
3265.55801	0.99923
3263.5042	0.99923
3261.45039	0.99966
3259.39658	0.99984
3257.34277	0.99947
3255.28896	0.99884
3253.23515	0.99871
3251.18134	0.99931
3249.12753	0.99973
3247.07372	0.99963
3245.01991	0.9995
3242.9661	0.99936
3240.91229	0.99907
3238.85848	0.99893
3236.80467	0.99918
3234.75086	0.99939
3232.69705	0.99918
3230.64324	0.99906
3228.58943	0.99934
3226.53562	0.99975
3224.48181	1.00012
3222.428	1.00033
3220.37419	1.00047
3218.32038	1.00066
3216.26657	1.00071
3214.21276	1.0003
3212.15895	0.99946
3210.10514	0.99907
3208.05133	0.99949
3205.99752	0.99978
3203.94371	0.99957
3201.8899	0.9995
3199.83609	0.99976
3197.78228	1.00004
3195.72847	1.00007
3193.67466	0.99972
3191.62085	0.99938
3189.56704	0.99966
3187.51323	1.00038
3185.45942	1.00073
3183.40561	1.0006
3181.3518	1.00004
3179.29799	0.99928
3177.24418	0.999
3175.19037	0.99913
3173.13656	0.99924
3171.08275	0.99919
3169.02894	0.99925
3166.97513	0.99934
3164.92132	0.9993
3162.86751	0.99951
3160.8137	0.99978
3158.75989	0.99958
3156.70608	0.99924
3154.65227	0.99951
3152.59846	1.00005
3150.54465	1.00012
3148.49084	1.00017
3146.43703	1.00055
3144.38322	1.00084
3142.32941	1.00061
3140.2756	1.00013
3138.22179	0.99995
3136.16798	0.99999
3134.11417	0.99992
3132.06036	1.0
3130.00655	1.00053
3127.95274	1.00106
3125.89893	1.00114
3123.84512	1.00094
3121.79131	1.00094
3119.7375	1.00103
3117.68369	1.00059
3115.62988	0.99969
3113.57607	0.99892
3111.52226	0.99842
3109.46845	0.99815
3107.41464	0.99798
3105.36083	0.99771
3103.30702	0.9974
3101.25321	0.99697
3099.1994	0.99668
3097.14559	0.99694
3095.09177	0.9969
3093.03796	0.99586
3090.98415	0.99495
3088.93034	0.99431
3086.87653	0.99284
3084.82272	0.99127
3082.76891	0.99086
3080.7151	0.99164
3078.66129	0.99287
3076.60748	0.99359
3074.55367	0.99336
3072.49986	0.99265
3070.44605	0.99213
3068.39224	0.99189
3066.33843	0.99111
3064.28462	0.98946
3062.23081	0.98784
3060.177	0.98717
3058.12319	0.98772
3056.06938	0.98894
3054.01557	0.9902
3051.96176	0.99159
3049.90795	0.993
3047.85414	0.99395
3045.80033	0.99419
3043.74652	0.99374
3041.69271	0.99294
3039.6389	0.9922
3037.58509	0.99097
3035.53128	0.98838
3033.47747	0.985
3031.42366	0.98171
