Numero de onda	policaprolactona.dpt
3678.37383	0.98678
3676.32002	0.98766
3674.26621	0.98861
3672.2124	0.98804
3670.15859	0.98697
3668.10478	0.98699
3666.05097	0.98707
3663.99716	0.9867
3661.94335	0.98634
3659.88954	0.98578
3657.83573	0.98533
3655.78192	0.98523
3653.72811	0.98505
3651.6743	0.9851
3649.62049	0.9858
3647.56668	0.98631
3645.51287	0.98577
3643.45906	0.98523
3641.40525	0.98567
3639.35144	0.98638
3637.29763	0.98674
3635.24382	0.987
3633.19001	0.98681
3631.1362	0.9861
3629.08239	0.98579
3627.02858	0.98635
3624.97477	0.98688
3622.92096	0.98707
3620.86715	0.98748
3618.81334	0.98832
3616.75953	0.98816
3614.70572	0.98718
3612.65191	0.98669
3610.5981	0.98618
3608.54429	0.98546
3606.49048	0.98527
3604.43667	0.98526
3602.38286	0.98547
3600.32905	0.98622
3598.27524	0.98693
3596.22143	0.98709
3594.16762	0.98678
3592.11381	0.98675
3590.06	0.98696
3588.00619	0.98674
3585.95238	0.98653
3583.89857	0.98687
3581.84476	0.98749
3579.79095	0.98778
3577.73714	0.98771
3575.68333	0.98773
3573.62952	0.98759
3571.57571	0.98726
3569.5219	0.98703
3567.46809	0.98706
3565.41428	0.98723
3563.36047	0.98707
3561.30666	0.98659
3559.25285	0.98632
3557.19904	0.98646
3555.14523	0.98642
3553.09142	0.98587
3551.03761	0.98528
3548.9838	0.98518
3546.92999	0.98572
3544.87618	0.98631
3542.82237	0.98617
3540.76856	0.98566
3538.71475	0.98543
3536.66094	0.98561
3534.60713	0.98626
3532.55332	0.98686
3530.49951	0.98672
3528.4457	0.98614
3526.39189	0.98595
3524.33808	0.98647
3522.28427	0.98754
3520.23046	0.98817
3518.17665	0.98787
3516.12284	0.98749
3514.06903	0.98742
3512.01522	0.98724
3509.96141	0.98701
3507.9076	0.98693
3505.85379	0.98676
3503.79998	0.98657
3501.74617	0.98645
3499.69236	0.98655
3497.63855	0.98693
3495.58474	0.98694
3493.53093	0.98667
3491.47712	0.98676
3489.42331	0.98658
3487.3695	0.98561
3485.31569	0.9848
3483.26188	0.98487
3481.20807	0.98549
3479.15426	0.98587
3477.10045	0.98599
3475.04664	0.98608
3472.99283	0.98591
3470.93902	0.98576
3468.88521	0.98568
3466.8314	0.98538
3464.77759	0.98503
3462.72378	0.98471
3460.66997	0.98466
3458.61616	0.98494
3456.56235	0.98462
3454.50854	0.98388
3452.45473	0.98386
3450.40092	0.98367
3448.34711	0.98275
3446.2933	0.98191
3444.23949	0.98105
3442.18568	0.98033
3440.13187	0.98034
3438.07806	0.98052
3436.02425	0.98047
3433.97044	0.98064
3431.91663	0.98121
3429.86282	0.98188
3427.80901	0.9824
3425.7552	0.98263
3423.70139	0.98271
3421.64758	0.98329
3419.59377	0.98436
3417.53996	0.98506
3415.48615	0.98517
3413.43234	0.98515
3411.37853	0.98534
3409.32472	0.98564
3407.27091	0.98593
3405.2171	0.9862
3403.16329	0.98608
