Numero de onda	polietileno.dpt
3205.99752	0.96644
3203.94371	0.96436
3201.8899	0.96197
3199.83609	0.9597
3197.78228	0.95774
3195.72847	0.95614
3193.67466	0.95467
3191.62085	0.95344
3189.56704	0.95257
3187.51323	0.95218
3185.45942	0.95255
3183.40561	0.95348
3181.3518	0.95468
3179.29799	0.95618
3177.24418	0.95831
3175.19037	0.96085
3173.13656	0.96325
3171.08275	0.96565
3169.02894	0.96838
3166.97513	0.97108
3164.92132	0.97288
3162.86751	0.97412
3160.8137	0.97564
3158.75989	0.97723
3156.70608	0.97864
3154.65227	0.98001
3152.59846	0.98135
3150.54465	0.98228
3148.49084	0.98271
3146.43703	0.98329
3144.38322	0.98435
3142.32941	0.98547
3140.2756	0.98633
3138.22179	0.98705
3136.16798	0.98777
3134.11417	0.98829
3132.06036	0.98847
3130.00655	0.98846
3127.95274	0.98845
3125.89893	0.98855
3123.84512	0.98873
3121.79131	0.98895
3119.7375	0.98937
3117.68369	0.99011
3115.62988	0.99073
3113.57607	0.99066
3111.52226	0.99033
3109.46845	0.99047
3107.41464	0.99099
3105.36083	0.99153
3103.30702	0.99169
3101.25321	0.99129
3099.1994	0.99113
3097.14559	0.99155
3095.09177	0.99149
3093.03796	0.9908
3090.98415	0.99059
3088.93034	0.99099
3086.87653	0.99109
3084.82272	0.99068
3082.76891	0.99008
3080.7151	0.9895
3078.66129	0.98937
3076.60748	0.98993
3074.55367	0.99064
3072.49986	0.99087
3070.44605	0.99061
3068.39224	0.99006
3066.33843	0.98959
3064.28462	0.98973
3062.23081	0.99034
3060.177	0.99073
3058.12319	0.99048
3056.06938	0.99009
3054.01557	0.98991
3051.96176	0.98972
3049.90795	0.98943
3047.85414	0.98906
3045.80033	0.98891
3043.74652	0.98929
3041.69271	0.98951
3039.6389	0.98885
3037.58509	0.98802
3035.53128	0.98793
3033.47747	0.98806
3031.42366	0.9876
3029.36985	0.98694
3027.31604	0.98645
3025.26223	0.98596
3023.20842	0.98521
3021.15461	0.98438
3019.1008	0.98351
3017.04699	0.98199
3014.99318	0.98013
3012.93937	0.97867
3010.88556	0.97757
3008.83175	0.97702
3006.77794	0.97763
3004.72413	0.97905
3002.67032	0.97995
3000.61651	0.98009
2998.5627	0.98021
2996.50889	0.98022
2994.45508	0.97975
2992.40127	0.97914
2990.34746	0.97874
2988.29365	0.97843
2986.23984	0.97781
2984.18603	0.97626
2982.13222	0.97374
2980.07841	0.97121
2978.0246	0.96874
2975.97079	0.96523
2973.91698	0.9604
2971.86317	0.9545
2969.80936	0.94764
2967.75555	0.94015
2965.70174	0.93215
2963.64793	0.92353
2961.59412	0.91478
2959.54031	0.90689
2957.4865	0.90059
2955.43269	0.89652
2953.37888	0.895
2951.32507	0.89486
2949.27126	0.89311
2947.21745	0.88664
2945.16364	0.87449
2943.10983	0.85799
2941.05602	0.83825
2939.00221	0.81521
2936.9484	0.78871
2934.89459	0.75797
2932.84078	0.72202
2930.78697	0.68087
2928.73316	0.63425
2926.67935	0.58036
2924.62554	0.51841
2922.57173	0.45082
2920.51792	0.38267
2918.46411	0.32228
2916.4103	0.2819
2914.35649	0.27369
2912.30268	0.29963
2910.24887	0.3481
2908.19506	0.4034
2906.14125	0.45483
2904.08744	0.49779
2902.03363	0.53199
2899.97982	0.55963
2897.92601	0.58368
2895.8722	0.60648
2893.81839	0.62927
2891.76458	0.65249
2889.71077	0.67613
2887.65696	0.70025
2885.60315	0.72436
2883.54934	0.74711
2881.49553	0.76785
2879.44172	0.78619
2877.38791	0.80082
2875.3341	0.81093
2873.28029	0.81719
2871.22648	0.82088
2869.17267	0.82246
2867.11886	0.82064
2865.06505	0.81264
2863.01124	0.79582
2860.95743	0.76849
2858.90362	0.72877
2856.84981	0.67345
2854.796	0.59844
2852.74219	0.50388
2850.68838	0.40524
2848.63457	0.33757
2846.58076	0.33406
2844.52695	0.39448
2842.47314	0.48837
2840.41933	0.5846
2838.36552	0.66676
2836.31171	0.73097
2834.2579	0.77955
2832.20409	0.81597
2830.15028	0.84314
2828.09647	0.86355
2826.04266	0.87949
2823.98885	0.89297
2821.93504	0.90486
2819.88123	0.91475
