Numero de onda	policloruro_vinilo.dpt
2883.54934	0.9652
2881.49553	0.96567
2879.44172	0.96564
2877.38791	0.96582
2875.3341	0.96643
2873.28029	0.96684
2871.22648	0.96679
2869.17267	0.96644
2867.11886	0.96625
2865.06505	0.96655
2863.01124	0.96696
2860.95743	0.96694
2858.90362	0.96677
2856.84981	0.96669
2854.796	0.96637
2852.74219	0.96604
2850.68838	0.9659
2848.63457	0.96563
2846.58076	0.96527
2844.52695	0.96517
2842.47314	0.96536
2840.41933	0.96578
2838.36552	0.96616
2836.31171	0.9662
2834.2579	0.96621
2832.20409	0.96631
2830.15028	0.96623
2828.09647	0.96623
2826.04266	0.9666
2823.98885	0.96687
2821.93504	0.96667
2819.88123	0.96619
2817.82742	0.96567
2815.77361	0.96541
2813.7198	0.96546
2811.66599	0.96582
2809.61218	0.96659
2807.55837	0.96726
2805.50456	0.96735
2803.45075	0.96719
2801.39693	0.96723
2799.34312	0.96734
2797.28931	0.96745
2795.2355	0.96776
2793.18169	0.96812
2791.12788	0.96828
2789.07407	0.96826
2787.02026	0.96827
2784.96645	0.96834
2782.91264	0.96834
2780.85883	0.96828
2778.80502	0.96826
2776.75121	0.9684
2774.6974	0.96865
2772.64359	0.96879
2770.58978	0.96879
2768.53597	0.96867
2766.48216	0.96862
2764.42835	0.96868
2762.37454	0.96847
2760.32073	0.96815
2758.26692	0.9682
2756.21311	0.96848
2754.1593	0.96864
2752.10549	0.96856
2750.05168	0.96853
2747.99787	0.9687
2745.94406	0.96889
2743.89025	0.96901
2741.83644	0.96896
2739.78263	0.96869
2737.72882	0.96831
2735.67501	0.96811
2733.6212	0.96819
2731.56739	0.96838
2729.51358	0.96847
2727.45977	0.96839
2725.40596	0.96827
2723.35215	0.96815
2721.29834	0.96816
2719.24453	0.96858
2717.19072	0.96906
2715.13691	0.96908
2713.0831	0.96903
2711.02929	0.96906
2708.97548	0.96884
2706.92167	0.96864
2704.86786	0.96864
2702.81405	0.96848
2700.76024	0.96826
2698.70643	0.96841
2696.65262	0.96857
2694.59881	0.96851
2692.545	0.96872
2690.49119	0.96911
2688.43738	0.9691
2686.38357	0.96883
2684.32976	0.96889
2682.27595	0.96902
2680.22214	0.96908
2678.16833	0.96928
2676.11452	0.96908
2674.06071	0.96833
2672.0069	0.96786
2669.95309	0.96799
2667.89928	0.96832
2665.84547	0.96867
2663.79166	0.9689
2661.73785	0.9689
2659.68404	0.96881
2657.63023	0.96868
2655.57642	0.96846
2653.52261	0.96828
2651.4688	0.9681
2649.41499	0.96801
2647.36118	0.96818
2645.30737	0.9685
2643.25356	0.96868
2641.19975	0.96848
2639.14594	0.96814
2637.09213	0.968
2635.03832	0.96805
2632.98451	0.96831
2630.9307	0.96843
2628.87689	0.96829
2626.82308	0.96835
2624.76927	0.96855
2622.71546	0.96866
2620.66165	0.96873
2618.60784	0.96879
2616.55403	0.96885
2614.50022	0.96898
2612.44641	0.96911
2610.3926	0.96889
2608.33879	0.96842
2606.28498	0.96823
2604.23117	0.96804
2602.17736	0.96762
2600.12355	0.9678
2598.06974	0.96868
2596.01593	0.96933
2593.96212	0.96935
2591.90831	0.96916
2589.8545	0.96902
2587.80069	0.96897
2585.74688	0.96916
2583.69307	0.96927
2581.63926	0.96896
2579.58545	0.96867
2577.53164	0.9684
2575.47783	0.96793
2573.42402	0.96784
2571.37021	0.96826
2569.3164	0.96882
2567.26259	0.96928
2565.20878	0.96939
2563.15497	0.96917
2561.10116	0.9689
2559.04735	0.96877
2556.99354	0.96874
2554.93973	0.96877
2552.88592	0.9691
2550.83211	0.96966
2548.7783	0.96967
2546.72449	0.96937
2544.67068	0.96955
2542.61687	0.97002
2540.56306	0.97019
2538.50925	0.97
2536.45544	0.96993
2534.40163	0.96988
2532.34782	0.96942
2530.29401	0.96904
2528.2402	0.96903
2526.18639	0.96928
2524.13258	0.9696
2522.07877	0.96938
2520.02496	0.96871
2517.97115	0.96832
2515.91734	0.96869
2513.86353	0.96964
2511.80972	0.97014
2509.75591	0.96996
2507.7021	0.96998
2505.64828	0.97017
2503.59447	0.97006
2501.54066	0.96988
2499.48685	0.96986
2497.43304	0.96988
2495.37923	0.96977
2493.32542	0.96961
2491.27161	0.96957
2489.2178	0.96949
2487.16399	0.96929
2485.11018	0.9693
2483.05637	0.96943
2481.00256	0.96969
2478.94875	0.97008
2476.89494	0.97008
2474.84113	0.96978
2472.78732	0.96956
2470.73351	0.96944
2468.6797	0.96945
2466.62589	0.96944
2464.57208	0.96916
2462.51827	0.96895
2460.46446	0.96916
2458.41065	0.96929
2456.35684	0.96917
2454.30303	0.9689
2452.24922	0.96867
2450.19541	0.96875
2448.1416	0.96859
