Numero de onda	polipropileno.dpt
3779.01053	0.99596
3776.95672	0.99662
3774.90291	0.99749
3772.8491	0.99761
3770.79529	0.99724
3768.74148	0.99726
3766.68767	0.99738
3764.63386	0.99669
3762.58005	0.99594
3760.52624	0.99593
3758.47243	0.99643
3756.41862	0.9971
3754.36481	0.99789
3752.311	0.9988
3750.25719	0.9987
3748.20338	0.99752
3746.14957	0.99687
3744.09576	0.99682
3742.04195	0.99705
3739.98814	0.99737
3737.93433	0.99773
3735.88052	0.99778
3733.82671	0.99711
3731.7729	0.9964
3729.71909	0.9963
3727.66528	0.99685
3725.61147	0.99745
3723.55766	0.99716
3721.50385	0.9964
3719.45004	0.99643
3717.39623	0.99724
3715.34242	0.99782
3713.28861	0.99799
3711.2348	0.99849
3709.18099	0.99878
3707.12718	0.99811
3705.07337	0.9973
3703.01956	0.99678
3700.96575	0.99631
3698.91194	0.99599
3696.85813	0.99617
3694.80432	0.99664
3692.75051	0.99652
3690.6967	0.99614
3688.64289	0.99677
3686.58907	0.9972
3684.53526	0.99674
3682.48145	0.99677
3680.42764	0.99761
3678.37383	0.99811
3676.32002	0.99826
3674.26621	0.99897
3672.2124	0.99957
3670.15859	0.99966
3668.10478	0.99947
3666.05097	0.99923
3663.99716	0.99913
3661.94335	0.99903
3659.88954	0.99858
3657.83573	0.99782
3655.78192	0.99712
3653.72811	0.9966
3651.6743	0.99668
3649.62049	0.99793
3647.56668	0.99839
3645.51287	0.99768
3643.45906	0.99741
3641.40525	0.99744
3639.35144	0.99756
3637.29763	0.99763
3635.24382	0.99783
3633.19001	0.99873
3631.1362	0.99952
3629.08239	0.99917
3627.02858	0.99844
3624.97477	0.99803
3622.92096	0.99736
3620.86715	0.9968
3618.81334	0.99721
3616.75953	0.99779
3614.70572	0.99818
3612.65191	0.99899
3610.5981	0.99953
3608.54429	0.99927
3606.49048	0.99882
3604.43667	0.99853
3602.38286	0.99843
3600.32905	0.99846
3598.27524	0.99826
3596.22143	0.99804
3594.16762	0.99816
3592.11381	0.99806
3590.06	0.99757
3588.00619	0.99738
3585.95238	0.99779
