Numero de onda	polivil_alcohol.dpt
3750.25719	0.96773
3748.20338	0.96763
3746.14957	0.96812
3744.09576	0.96839
3742.04195	0.9684
3739.98814	0.9684
3737.93433	0.96855
3735.88052	0.96894
3733.82671	0.96865
3731.7729	0.96799
3729.71909	0.96807
3727.66528	0.96862
3725.61147	0.96932
3723.55766	0.96955
3721.50385	0.96881
3719.45004	0.96805
3717.39623	0.96792
3715.34242	0.96778
3713.28861	0.96751
3711.2348	0.96784
3709.18099	0.96851
3707.12718	0.96902
3705.07337	0.96942
3703.01956	0.96968
3700.96575	0.97005
3698.91194	0.97025
3696.85813	0.97012
3694.80432	0.97008
3692.75051	0.97008
3690.6967	0.96968
3688.64289	0.96931
3686.58907	0.96949
3684.53526	0.96962
3682.48145	0.96972
3680.42764	0.97012
3678.37383	0.97051
3676.32002	0.97033
3674.26621	0.96967
3672.2124	0.96929
3670.15859	0.9691
3668.10478	0.96892
3666.05097	0.96913
3663.99716	0.96951
3661.94335	0.96966
3659.88954	0.96961
3657.83573	0.96952
3655.78192	0.96969
3653.72811	0.97007
3651.6743	0.97054
3649.62049	0.97119
3647.56668	0.97098
3645.51287	0.96973
3643.45906	0.96873
3641.40525	0.96828
3639.35144	0.96793
3637.29763	0.9676
3635.24382	0.96795
3633.19001	0.96896
3631.1362	0.96935
3629.08239	0.96902
3627.02858	0.96861
3624.97477	0.96815
3622.92096	0.96762
3620.86715	0.96709
3618.81334	0.96704
3616.75953	0.96712
3614.70572	0.96651
3612.65191	0.96576
3610.5981	0.96547
3608.54429	0.96552
3606.49048	0.96556
3604.43667	0.96518
3602.38286	0.96462
3600.32905	0.96438
3598.27524	0.96428
3596.22143	0.96393
3594.16762	0.96334
3592.11381	0.96252
3590.06	0.9618
3588.00619	0.96203
3585.95238	0.96266
3583.89857	0.96238
3581.84476	0.96159
3579.79095	0.9609
3577.73714	0.96039
3575.68333	0.95981
3573.62952	0.95908
3571.57571	0.95876
3569.5219	0.95899
3567.46809	0.9593
3565.41428	0.95945
3563.36047	0.95858
3561.30666	0.95677
3559.25285	0.95544
3557.19904	0.95473
3555.14523	0.95385
3553.09142	0.95304
3551.03761	0.95272
3548.9838	0.95255
3546.92999	0.95239
3544.87618	0.95195
3542.82237	0.95061
3540.76856	0.94881
3538.71475	0.94753
3536.66094	0.947
3534.60713	0.94646
3532.55332	0.94557
3530.49951	0.94489
3528.4457	0.94427
3526.39189	0.94323
3524.33808	0.94205
3522.28427	0.94089
3520.23046	0.93955
3518.17665	0.93827
3516.12284	0.9374
3514.06903	0.93669
3512.01522	0.9356
3509.96141	0.934
3507.9076	0.93264
3505.85379	0.93194
3503.79998	0.9312
3501.74617	0.93018
3499.69236	0.92913
3497.63855	0.92791
3495.58474	0.92631
3493.53093	0.92461
3491.47712	0.92314
3489.42331	0.92175
3487.3695	0.9205
3485.31569	0.91946
3483.26188	0.91851
3481.20807	0.91752
3479.15426	0.91655
3477.10045	0.91559
3475.04664	0.91424
3472.99283	0.91276
3470.93902	0.91173
3468.88521	0.91056
3466.8314	0.9086
3464.77759	0.90678
3462.72378	0.9058
3460.66997	0.9048
3458.61616	0.90351
3456.56235	0.90239
3454.50854	0.90131
3452.45473	0.89989
3450.40092	0.89809
3448.34711	0.89633
3446.2933	0.89531
3444.23949	0.89456
3442.18568	0.89322
3440.13187	0.89177
3438.07806	0.89104
3436.02425	0.89037
3433.97044	0.8886
3431.91663	0.88653
3429.86282	0.88513
3427.80901	0.8837
3425.7552	0.88213
3423.70139	0.88119
3421.64758	0.88049
3419.59377	0.87939
3417.53996	0.87814
3415.48615	0.87716
3413.43234	0.87642
3411.37853	0.87518
3409.32472	0.8732
3407.27091	0.87139
3405.2171	0.87031
3403.16329	0.86952
3401.10948	0.86843
3399.05567	0.86729
3397.00186	0.86639
3394.94805	0.86549
3392.89424	0.86437
3390.84042	0.86293
3388.78661	0.86148
3386.7328	0.8602
3384.67899	0.85905
3382.62518	0.85801
3380.57137	0.85702
3378.51756	0.85611
3376.46375	0.85537
3374.40994	0.85493
3372.35613	0.85454
3370.30232	0.85403
3368.24851	0.85313
3366.1947	0.85169
3364.14089	0.85067
3362.08708	0.8503
3360.03327	0.84965
3357.97946	0.84866
3355.92565	0.84781
3353.87184	0.8473
3351.81803	0.8471
3349.76422	0.84679
3347.71041	0.84597
3345.6566	0.845
3343.60279	0.84441
3341.54898	0.84414
3339.49517	0.84365
3337.44136	0.84241
3335.38755	0.84105
3333.33374	0.84043
3331.27993	0.84048
3329.22612	0.84073
3327.17231	0.8407
3325.1185	0.84008
3323.06469	0.83908
3321.01088	0.83833
3318.95707	0.83797
3316.90326	0.8376
3314.84945	0.83728
3312.79564	0.83699
3310.74183	0.83655
3308.68802	0.83626
3306.63421	0.83651
3304.5804	0.83698
3302.52659	0.8368
3300.47278	0.83632
3298.41897	0.83622
3296.36516	0.83602
3294.31135	0.83563
3292.25754	0.83537
3290.20373	0.83519
3288.14992	0.83512
3286.09611	0.83522
3284.0423	0.83535
3281.98849	0.83521
3279.93468	0.83477
3277.88087	0.83429
3275.82706	0.83396
3273.77325	0.83392
3271.71944	0.83416
3269.66563	0.83441
3267.61182	0.8347
3265.55801	0.83518
3263.5042	0.83571
3261.45039	0.83607
3259.39658	0.83639
3257.34277	0.83688
3255.28896	0.8372
3253.23515	0.837
3251.18134	0.83682
3249.12753	0.83719
3247.07372	0.8379
3245.01991	0.83853
3242.9661	0.83883
3240.91229	0.83907
3238.85848	0.83949
3236.80467	0.83992
3234.75086	0.84039
3232.69705	0.84084
3230.64324	0.841
3228.58943	0.84104
3226.53562	0.84149
3224.48181	0.84254
3222.428	0.84356
3220.37419	0.84436
3218.32038	0.84535
3216.26657	0.84623
3214.21276	0.84691
3212.15895	0.84775
3210.10514	0.8483
3208.05133	0.84839
3205.99752	0.84868
