Numero de onda	teraftalato_de_polietileno.dpt
3520.23046	0.99315
3518.17665	0.99302
3516.12284	0.99287
3514.06903	0.99309
3512.01522	0.99356
3509.96141	0.99377
3507.9076	0.99384
3505.85379	0.99405
3503.79998	0.994
3501.74617	0.99358
3499.69236	0.99331
3497.63855	0.99352
3495.58474	0.9939
3493.53093	0.99395
3491.47712	0.99386
3489.42331	0.99408
3487.3695	0.99451
3485.31569	0.9946
3483.26188	0.99426
3481.20807	0.99392
3479.15426	0.99409
3477.10045	0.99463
3475.04664	0.9947
3472.99283	0.9941
3470.93902	0.99359
3468.88521	0.99361
3466.8314	0.994
3464.77759	0.99438
3462.72378	0.99419
3460.66997	0.99339
3458.61616	0.99294
3456.56235	0.99331
3454.50854	0.99387
3452.45473	0.994
3450.40092	0.99357
3448.34711	0.99321
3446.2933	0.993
3444.23949	0.99237
3442.18568	0.99183
3440.13187	0.99205
3438.07806	0.99269
3436.02425	0.99293
3433.97044	0.99247
3431.91663	0.99195
3429.86282	0.99172
3427.80901	0.9914
3425.7552	0.9912
3423.70139	0.99144
3421.64758	0.99174
3419.59377	0.99173
3417.53996	0.99166
3415.48615	0.99179
3413.43234	0.99187
3411.37853	0.99184
3409.32472	0.99212
3407.27091	0.99281
3405.2171	0.99322
3403.16329	0.99279
3401.10948	0.99216
3399.05567	0.99202
3397.00186	0.99215
3394.94805	0.99222
3392.89424	0.99242
3390.84042	0.99282
3388.78661	0.9933
3386.7328	0.99377
3384.67899	0.99415
3382.62518	0.99439
3380.57137	0.99464
3378.51756	0.99485
3376.46375	0.99475
3374.40994	0.99462
3372.35613	0.99493
3370.30232	0.99507
3368.24851	0.99443
3366.1947	0.99375
3364.14089	0.99358
3362.08708	0.99362
3360.03327	0.9937
3357.97946	0.99395
3355.92565	0.99426
3353.87184	0.99395
3351.81803	0.9932
3349.76422	0.99294
3347.71041	0.99367
3345.6566	0.99486
3343.60279	0.99538
3341.54898	0.99496
3339.49517	0.99425
3337.44136	0.99394
3335.38755	0.99415
3333.33374	0.99431
3331.27993	0.99435
3329.22612	0.99462
3327.17231	0.99478
3325.1185	0.99454
3323.06469	0.99421
3321.01088	0.99389
3318.95707	0.99348
3316.90326	0.99316
3314.84945	0.99307
3312.79564	0.99325
3310.74183	0.9936
3308.68802	0.99372
3306.63421	0.9936
3304.5804	0.99352
3302.52659	0.99346
3300.47278	0.99332
3298.41897	0.99342
3296.36516	0.99373
3294.31135	0.9936
3292.25754	0.99333
3290.20373	0.99354
3288.14992	0.99376
3286.09611	0.99381
3284.0423	0.99399
3281.98849	0.99393
3279.93468	0.99384
3277.88087	0.99441
3275.82706	0.99514
3273.77325	0.99515
3271.71944	0.99446
3269.66563	0.99392
3267.61182	0.99382
3265.55801	0.9938
3263.5042	0.994
3261.45039	0.9943
3259.39658	0.99441
3257.34277	0.99457
3255.28896	0.99488
3253.23515	0.99522
3251.18134	0.99536
3249.12753	0.99501
3247.07372	0.99444
3245.01991	0.99426
3242.9661	0.99477
3240.91229	0.9955
3238.85848	0.99562
3236.80467	0.99497
3234.75086	0.99417
3232.69705	0.99362
3230.64324	0.99347
3228.58943	0.99382
3226.53562	0.9944
3224.48181	0.99468
