Numero de onda	pet.dpt
3678.37383	0.97679
3676.32002	0.97649
3674.26621	0.9763
3672.2124	0.97605
3670.15859	0.97568
3668.10478	0.97567
3666.05097	0.97557
3663.99716	0.97501
3661.94335	0.97455
3659.88954	0.97457
3657.83573	0.97472
3655.78192	0.9747
3653.72811	0.97458
3651.6743	0.9747
3649.62049	0.97497
3647.56668	0.97485
3645.51287	0.97486
3643.45906	0.97494
3641.40525	0.97455
3639.35144	0.97417
3637.29763	0.97425
3635.24382	0.97444
3633.19001	0.97448
3631.1362	0.97451
3629.08239	0.97456
3627.02858	0.97443
3624.97477	0.97442
3622.92096	0.97452
3620.86715	0.97424
3618.81334	0.97375
3616.75953	0.97366
3614.70572	0.9738
3612.65191	0.97395
3610.5981	0.97426
3608.54429	0.97447
3606.49048	0.97438
3604.43667	0.97428
3602.38286	0.97423
3600.32905	0.97427
3598.27524	0.97449
3596.22143	0.97471
3594.16762	0.97477
3592.11381	0.97464
3590.06	0.97448
3588.00619	0.97448
3585.95238	0.97459
3583.89857	0.97455
3581.84476	0.97437
3579.79095	0.97429
3577.73714	0.97436
3575.68333	0.97442
3573.62952	0.97457
3571.57571	0.97481
3569.5219	0.97473
3567.46809	0.97431
3565.41428	0.97418
3563.36047	0.97417
3561.30666	0.9738
3559.25285	0.9735
3557.19904	0.97363
3555.14523	0.97396
3553.09142	0.97408
3551.03761	0.97384
3548.9838	0.9735
3546.92999	0.97328
3544.87618	0.97327
3542.82237	0.9735
3540.76856	0.97382
3538.71475	0.97383
3536.66094	0.97367
3534.60713	0.97375
3532.55332	0.97397
3530.49951	0.97421
3528.4457	0.97425
3526.39189	0.9741
3524.33808	0.97394
3522.28427	0.97377
3520.23046	0.97387
3518.17665	0.9743
3516.12284	0.97457
3514.06903	0.97451
3512.01522	0.9743
3509.96141	0.97408
3507.9076	0.97409
3505.85379	0.97441
3503.79998	0.97465
3501.74617	0.97459
3499.69236	0.97443
3497.63855	0.97437
3495.58474	0.97449
3493.53093	0.97475
3491.47712	0.97489
3489.42331	0.97479
3487.3695	0.97453
3485.31569	0.97446
3483.26188	0.97468
3481.20807	0.9748
3479.15426	0.97464
3477.10045	0.97449
3475.04664	0.97455
3472.99283	0.97469
3470.93902	0.97472
3468.88521	0.97464
3466.8314	0.97467
3464.77759	0.97472
3462.72378	0.97449
3460.66997	0.97436
3458.61616	0.9744
3456.56235	0.97419
3454.50854	0.97396
3452.45473	0.97391
3450.40092	0.97375
3448.34711	0.97356
3446.2933	0.97365
3444.23949	0.97361
3442.18568	0.97331
3440.13187	0.9731
3438.07806	0.97269
3436.02425	0.97207
3433.97044	0.97194
3431.91663	0.9724
3429.86282	0.97262
3427.80901	0.97241
3425.7552	0.97241
3423.70139	0.97275
3421.64758	0.97313
3419.59377	0.97332
3417.53996	0.97329
3415.48615	0.97318
3413.43234	0.97319
3411.37853	0.97352
3409.32472	0.97406
3407.27091	0.97435
3405.2171	0.97425
3403.16329	0.97414
3401.10948	0.9742
3399.05567	0.9744
3397.00186	0.97465
3394.94805	0.9747
3392.89424	0.97457
3390.84042	0.97456
3388.78661	0.97475
3386.7328	0.97497
3384.67899	0.975
3382.62518	0.97475
3380.57137	0.97464
3378.51756	0.9748
3376.46375	0.97511
3374.40994	0.9755
3372.35613	0.97548
3370.30232	0.97498
3368.24851	0.9747
3366.1947	0.97484
3364.14089	0.97498
3362.08708	0.97492
3360.03327	0.97458
3357.97946	0.97416
3355.92565	0.97403
3353.87184	0.97425
3351.81803	0.97453
3349.76422	0.97457
3347.71041	0.97448
3345.6566	0.9745
3343.60279	0.97459
3341.54898	0.97456
3339.49517	0.97443
3337.44136	0.97436
3335.38755	0.97422
3333.33374	0.97389
3331.27993	0.97378
3329.22612	0.97413
3327.17231	0.97445
3325.1185	0.9743
3323.06469	0.97409
3321.01088	0.97415
3318.95707	0.97415
3316.90326	0.97399
3314.84945	0.9738
3312.79564	0.9736
3310.74183	0.97352
3308.68802	0.97373
3306.63421	0.97417
3304.5804	0.97439
3302.52659	0.97436
3300.47278	0.97434
3298.41897	0.9742
3296.36516	0.97389
3294.31135	0.97377
3292.25754	0.97399
3290.20373	0.97436
3288.14992	0.97458
3286.09611	0.9746
3284.0423	0.97453
3281.98849	0.97453
3279.93468	0.97464
3277.88087	0.97475
3275.82706	0.97463
3273.77325	0.97435
3271.71944	0.97431
3269.66563	0.97457
3267.61182	0.97462
3265.55801	0.97436
3263.5042	0.97428
3261.45039	0.97448
3259.39658	0.97447
3257.34277	0.9742
3255.28896	0.97401
3253.23515	0.97407
3251.18134	0.97427
3249.12753	0.97423
3247.07372	0.97398
3245.01991	0.9739
3242.9661	0.97413
3240.91229	0.97447
3238.85848	0.97446
3236.80467	0.97419
3234.75086	0.97403
3232.69705	0.97401
3230.64324	0.97409
3228.58943	0.97426
3226.53562	0.97433
3224.48181	0.97429
3222.428	0.97433
3220.37419	0.97454
3218.32038	0.97472
3216.26657	0.97475
3214.21276	0.97472
3212.15895	0.97465
3210.10514	0.97458
3208.05133	0.97455
3205.99752	0.9745
3203.94371	0.9743
3201.8899	0.97403
3199.83609	0.97391
3197.78228	0.97407
3195.72847	0.97425
3193.67466	0.97414
3191.62085	0.97387
3189.56704	0.97376
3187.51323	0.9739
3185.45942	0.9741
3183.40561	0.97426
3181.3518	0.9745
3179.29799	0.97465
3177.24418	0.97455
3175.19037	0.97437
3173.13656	0.9743
3171.08275	0.97421
3169.02894	0.97392
3166.97513	0.97376
3164.92132	0.97394
3162.86751	0.97424
3160.8137	0.97446
3158.75989	0.97447
3156.70608	0.97425
3154.65227	0.97424
3152.59846	0.97456
3150.54465	0.97483
3148.49084	0.9749
3146.43703	0.97477
3144.38322	0.97441
3142.32941	0.97395
3140.2756	0.97358
3138.22179	0.97341
3136.16798	0.97341
