Numero de onda	acido_polilactico.dpt
3097.14559	0.99378
3095.09177	0.99359
3093.03796	0.99315
3090.98415	0.99287
3088.93034	0.99273
3086.87653	0.99283
3084.82272	0.99309
3082.76891	0.99309
3080.7151	0.99293
3078.66129	0.99297
3076.60748	0.9931
3074.55367	0.99313
3072.49986	0.99313
3070.44605	0.99308
3068.39224	0.99295
3066.33843	0.99278
3064.28462	0.99263
3062.23081	0.99257
3060.177	0.99262
3058.12319	0.99286
3056.06938	0.99311
3054.01557	0.99315
3051.96176	0.99303
3049.90795	0.99291
3047.85414	0.99282
3045.80033	0.99266
3043.74652	0.99248
3041.69271	0.99252
3039.6389	0.9926
3037.58509	0.9924
3035.53128	0.99204
3033.47747	0.99176
3031.42366	0.99152
3029.36985	0.99118
3027.31604	0.99079
3025.26223	0.99056
3023.20842	0.99033
3021.15461	0.98966
3019.1008	0.9885
3017.04699	0.98725
3014.99318	0.9861
3012.93937	0.98489
3010.88556	0.98353
3008.83175	0.98188
3006.77794	0.97983
3004.72413	0.97774
3002.67032	0.97596
3000.61651	0.97432
2998.5627	0.97284
2996.50889	0.972
2994.45508	0.9721
2992.40127	0.973
2990.34746	0.97459
2988.29365	0.97686
2986.23984	0.97937
2984.18603	0.98142
2982.13222	0.98295
2980.07841	0.98403
2978.0246	0.98457
2975.97079	0.98492
2973.91698	0.98533
2971.86317	0.98539
2969.80936	0.98511
2967.75555	0.98493
2965.70174	0.98474
2963.64793	0.98438
2961.59412	0.98401
2959.54031	0.98337
2957.4865	0.98227
2955.43269	0.98104
2953.37888	0.97985
2951.32507	0.97859
2949.27126	0.97722
2947.21745	0.97611
2945.16364	0.97589
2943.10983	0.9766
2941.05602	0.97811
2939.00221	0.98023
2936.9484	0.98233
2934.89459	0.98401
2932.84078	0.98526
2930.78697	0.98622
2928.73316	0.987
2926.67935	0.98767
2924.62554	0.98832
2922.57173	0.9888
2920.51792	0.98893
2918.46411	0.98898
2916.4103	0.98907
2914.35649	0.98918
2912.30268	0.98943
2910.24887	0.98966
2908.19506	0.98967
2906.14125	0.98962
2904.08744	0.98974
2902.03363	0.98999
2899.97982	0.99012
2897.92601	0.99004
2895.8722	0.98998
2893.81839	0.99006
2891.76458	0.99007
2889.71077	0.98994
2887.65696	0.98964
2885.60315	0.9891
2883.54934	0.98853
2881.49553	0.98818
2879.44172	0.98826
2877.38791	0.9889
2875.3341	0.98964
2873.28029	0.9901
2871.22648	0.99054
2869.17267	0.99104
